"support.size","degree","chart.dim","dataset.id","truth.id"
24,1,19,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
25,1,19,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
26,1,20,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
27,1,21,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
28,1,21,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
29,1,22,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
30,1,23,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
31,1,23,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
32,1,24,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
33,1,25,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
34,1,25,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
35,1,26,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
15,2,3,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
16,2,4,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
17,2,4,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
18,2,4,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
19,2,4,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
20,2,4,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
21,2,4,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
22,2,5,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
23,2,5,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
24,2,5,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
25,2,5,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
26,2,5,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
27,2,5,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
28,2,5,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
29,2,6,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
30,2,6,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
31,2,6,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
32,2,6,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
33,2,6,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
34,2,6,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
35,2,6,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1"
15,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
16,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
17,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
18,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
19,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
20,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
21,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
22,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
23,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
24,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
25,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
26,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
27,1,3,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1"
