"phase","seconds","share.of.total","dataset.id","truth.id","geometry.family","n","ambient.dimension","profile.sample.policy","profile.sample.n","candidate.count"
"accumulate",0.00165299999999996,8.67583096143197e-05,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"rmse",5e-06,2.62426828839449e-07,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"fold_partition",3.3e-05,6.21128300261702e-06,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"tree_build",0.004658,0.000876732006854245,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"ann_search",0.028829,0.00542621447522564,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"tie_recovery",0.654605,0.123210209391761,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"neighbor_extract",0.000706000000000007,0.000132883812116596,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"kernel_weights",0.00344100000000013,0.000647667418545635,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"chart_build",3.343234,0.62926583387792,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"local_solve",1.271302,0.239285348599789,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"accumulate",0.000324000000000001,6.09835058438765e-05,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"rmse",3e-06,5.64662091147002e-07,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
