"task_id","phase","value"
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","phase_fold_component_cache_sec",0.324
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","phase_full_component_cache_sec",0.151
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","phase_lambda_search_sec",1.695
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","phase_final_solve_sec",0.0259999999999998
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","evaluated_lambda_count",8
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","unique_lambda_count",8
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","boundary_expansion_count",2
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","total.elapsed.sec",7.47600000000001
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","phase_frames_sec",0.347999999999999
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","phase_sync_rows_sec",0.171999999999997
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","phase_system_cache_sec",0.0100000000000051
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","phase_fold_component_cache_sec",1.04899999999999
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","phase_full_component_cache_sec",0.363
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","phase_lambda_search_sec",4.37400000000001
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","phase_final_solve_sec",0.0900000000000034
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","evaluated_lambda_count",8
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","unique_lambda_count",8
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","boundary_expansion_count",2
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","total.elapsed.sec",3.308
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","phase_frames_sec",0.108000000000001
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","phase_sync_rows_sec",0.0790000000000006
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","phase_system_cache_sec",0.0139999999999993
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","phase_fold_component_cache_sec",0.542999999999999
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","phase_full_component_cache_sec",0.0820000000000007
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","phase_lambda_search_sec",2.099
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","phase_final_solve_sec",0.0470000000000006
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","evaluated_lambda_count",8
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","unique_lambda_count",8
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","boundary_expansion_count",2
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","total.elapsed.sec",6.24799999999999
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","phase_frames_sec",0.310000000000002
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","phase_sync_rows_sec",0.167000000000002
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","phase_system_cache_sec",0.012999999999991
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","phase_fold_component_cache_sec",1.03800000000001
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","phase_full_component_cache_sec",0.210999999999999
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","phase_lambda_search_sec",4.336
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","phase_final_solve_sec",0.0699999999999932
