"task_id","batch_id","dataset_id","geometry_family","n","p","repetition","response_seed","fold_seed","sigma","method","chart_dim_rule","search_policy","backend_variant","design_basis","support_grid","degree_grid","kernel_grid","lambda_sync_search","status","truth_rmse","observed_rmse","selected_cv_rmse_observed","selected_support_size","selected_degree","selected_kernel","selected_lambda_sync","selected_total_local_gcv_ps","selected_sync_energy","finite_cv_candidates","total_cv_candidates","local_candidates_total","local_candidates_evaluated","local_candidates_finite","local_candidates_evaluated_supports","chart_dim_n","chart_dim_min","chart_dim_median","chart_dim_max","chart_dim_unique","timing_frame_prep_sec","timing_system_cache_sec","timing_fold_cache_sec","timing_lambda_search_sec","timing_final_solve_sec","timing_total_fit_sec","elapsed_sec"
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,3,20363709,20363708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.028730341863166,0.0976278340209977,0.105297490499399,26,2,"tricube",10,3.66371019135864,0.0717926248002827,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,156.094
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,3,20363709,20363708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0263635730293026,0.0995652070813875,0.105328847898983,25,2,"tricube",30,5.53798261075453,0.0236324311065658,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,4,4,NA,NA,NA,NA,NA,NA,65.347
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,1,20461609,20461608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0493905114186157,0.109662523744951,0.121559609370618,17,2,"tricube",10,3.91658277170285,0.738154927983845,6,7,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,1,1,1,NA,NA,NA,NA,NA,NA,84.98
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,1,20461619,20461618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0482724432608346,0.102782910897382,0.117383215909518,16,2,"tricube",10,3.37469919887654,0.678617970253863,6,7,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,1,1,1,NA,NA,NA,NA,NA,NA,9.829
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,1,20461709,20461708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0374458458165864,0.102271107970175,0.112236342968825,30,2,"tricube",1,3.64258942406438,2.40559785593617,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,118.572
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,1,20461709,20461708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.035597616145716,0.100967031409887,0.113278038722846,25,2,"tricube",1,4.29016976500286,1.87613387723774,5,6,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,57.466
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,2,20462609,20462608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.037009998213383,0.097859018681605,0.125654803632867,21,2,"tricube",1,4.1794349300127,1.53742259567764,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,85.804
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,2,20462619,20462618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0386470289020016,0.0927121672062841,0.114121859448702,35,2,"tricube",0.001,2.54595450015322,31.538294898311,6,7,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,1,1,1,NA,NA,NA,NA,NA,NA,26.698
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,2,20462709,20462708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0352312795687972,0.0895278524751937,0.120103463582031,30,2,"tricube",0.1,2.75967451712369,5.9835984774473,5,6,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,108.948
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,2,20462709,20462708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0385527320686567,0.0913463419386424,0.121525179506888,35,2,"tricube",0.1,2.52017327971112,7.69218104755171,5,6,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,48.289
