"task_id","dataset_id","method","chart_dim_rule","backend_variant","result_path","batch_id","geometry_family","status_path","log_path","status","started_at","finished_at","elapsed_sec","hostname","pid","error_message","error_class"
"bp7x_0093__LA_D3_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","LA-D3-RAW-N500","lps","local.auto","orthogonal_drop_adaptive_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0093__LA_D3_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny.rds","FB08","VALENCIA depth3 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0093__LA_D3_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0093__LA_D3_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny.log","ok","2026-06-06 23:19:50 EDT","2026-06-06 23:20:40 EDT",49.727,"pgajerm4-osx","58472",NA,NA
"bp7x_0094__LA_D3_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge","LA-D3-RAW-N500","ps_lps","local.auto","monomial_tiny_ridge","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0094__LA_D3_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge.rds","FB08","VALENCIA depth3 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0094__LA_D3_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0094__LA_D3_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge.log","ok","2026-06-06 23:20:43 EDT","2026-06-06 23:29:23 EDT",520.743,"pgajerm4-osx","58591",NA,NA
"bp7x_0095__LA_D3_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny","LA-D3-RAW-N500","ps_lps","local.auto","weighted_qr_drop_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0095__LA_D3_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny.rds","FB08","VALENCIA depth3 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0095__LA_D3_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0095__LA_D3_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny.log","ok","2026-06-06 23:20:46 EDT","2026-06-07 02:15:59 EDT",10512.834,"pgajerm4-osx","58600",NA,NA
"bp7x_0096__LA_D3_RAW_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny","LA-D3-RAW-N500","ps_lps","local.auto","orthogonal_drop_adaptive_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0096__LA_D3_RAW_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny.rds","FB08","VALENCIA depth3 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0096__LA_D3_RAW_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0096__LA_D3_RAW_N500__local_auto__ps_lps__orthogonal_drop_adaptive_tiny.log","ok","2026-06-06 23:21:57 EDT","2026-06-07 00:47:12 EDT",5114.594,"pgajerm4-osx","58673",NA,NA
"bp7x_0097__LA_13K_SUB_N500__auto__lps__monomial_tiny_ridge","LA-13K-SUB-N500","lps","auto","monomial_tiny_ridge","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0097__LA_13K_SUB_N500__auto__lps__monomial_tiny_ridge.rds","FB09","VALENCIA full phylotype matrix","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0097__LA_13K_SUB_N500__auto__lps__monomial_tiny_ridge.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0097__LA_13K_SUB_N500__auto__lps__monomial_tiny_ridge.log","ok","2026-06-06 23:24:55 EDT","2026-06-06 23:26:00 EDT",65.377,"pgajerm4-osx","59088",NA,NA
"bp7x_0098__LA_13K_SUB_N500__auto__lps__weighted_qr_drop_tiny","LA-13K-SUB-N500","lps","auto","weighted_qr_drop_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0098__LA_13K_SUB_N500__auto__lps__weighted_qr_drop_tiny.rds","FB09","VALENCIA full phylotype matrix","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0098__LA_13K_SUB_N500__auto__lps__weighted_qr_drop_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0098__LA_13K_SUB_N500__auto__lps__weighted_qr_drop_tiny.log","nonfinite_fit","2026-06-06 23:26:08 EDT","2026-06-06 23:26:59 EDT",50.486,"pgajerm4-osx","59122","fit completed but selected fit or observed CV score was nonfinite","nonfinite_fit"
"bp7x_0099__LA_13K_SUB_N500__auto__lps__orthogonal_drop_adaptive_tiny","LA-13K-SUB-N500","lps","auto","orthogonal_drop_adaptive_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0099__LA_13K_SUB_N500__auto__lps__orthogonal_drop_adaptive_tiny.rds","FB09","VALENCIA full phylotype matrix","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0099__LA_13K_SUB_N500__auto__lps__orthogonal_drop_adaptive_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0099__LA_13K_SUB_N500__auto__lps__orthogonal_drop_adaptive_tiny.log","ok","2026-06-06 23:27:07 EDT","2026-06-06 23:27:59 EDT",51.706,"pgajerm4-osx","59172",NA,NA
"bp7x_0100__LA_13K_SUB_N500__auto__ps_lps__monomial_tiny_ridge","LA-13K-SUB-N500","ps_lps","auto","monomial_tiny_ridge","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0100__LA_13K_SUB_N500__auto__ps_lps__monomial_tiny_ridge.rds","FB09","VALENCIA full phylotype matrix","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0100__LA_13K_SUB_N500__auto__ps_lps__monomial_tiny_ridge.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0100__LA_13K_SUB_N500__auto__ps_lps__monomial_tiny_ridge.log","ok","2026-06-06 23:28:07 EDT","2026-06-06 23:46:52 EDT",1124.666,"pgajerm4-osx","59214",NA,NA
"bp7x_0101__LA_13K_SUB_N500__auto__ps_lps__weighted_qr_drop_tiny","LA-13K-SUB-N500","ps_lps","auto","weighted_qr_drop_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0101__LA_13K_SUB_N500__auto__ps_lps__weighted_qr_drop_tiny.rds","FB09","VALENCIA full phylotype matrix","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0101__LA_13K_SUB_N500__auto__ps_lps__weighted_qr_drop_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0101__LA_13K_SUB_N500__auto__ps_lps__weighted_qr_drop_tiny.log","error",NA,"2026-06-07 03:59:51 EDT",NA,"pgajerm4-osx",NA,"worker process exited nonzero or was killed; see task log","worker_exit_-15"
"bp7x_0102__LA_13K_SUB_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","LA-13K-SUB-N500","ps_lps","auto","orthogonal_drop_adaptive_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0102__LA_13K_SUB_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny.rds","FB09","VALENCIA full phylotype matrix","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0102__LA_13K_SUB_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0102__LA_13K_SUB_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny.log","error",NA,"2026-06-07 03:59:51 EDT",NA,"pgajerm4-osx",NA,"worker process exited nonzero or was killed; see task log","worker_exit_-15"
