"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label","dataset.id","analysis.sample.policy"
17,1,"tricube",14,33.1540926252903,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
18,1,"tricube",14,26.8852266292216,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
19,1,"tricube",15,21.8169805188895,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
20,1,"tricube",16,28.4059305729257,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
21,1,"tricube",16,19.2086078413394,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
22,1,"tricube",17,14.4161475952586,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
23,1,"tricube",18,16.6497652205568,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
24,1,"tricube",19,14.188926828333,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
25,1,"tricube",19,13.5947942367154,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
26,1,"tricube",20,11.5864816793029,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
27,1,"tricube",21,13.154774482236,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
28,1,"tricube",21,11.7682604310265,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
29,1,"tricube",22,12.8326539404177,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
30,1,"tricube",23,9.72074310421509,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
31,1,"tricube",23,9.61077601838516,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
32,1,"tricube",24,10.7831853497383,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
33,1,"tricube",25,10.0877484022592,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
34,1,"tricube",25,8.96139800236258,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
35,1,"tricube",26,7.89926676235835,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
15,2,"tricube",3,245.178461600151,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
16,2,"tricube",4,54304.8563787923,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
17,2,"tricube",4,1974.85455493328,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
18,2,"tricube",4,416.895748445798,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
19,2,"tricube",4,289.483708433418,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
20,2,"tricube",4,265.841959553376,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
21,2,"tricube",4,217.966086749995,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
22,2,"tricube",5,1800.51866696726,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
23,2,"tricube",5,820.349662480668,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
24,2,"tricube",5,1108.74046273347,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
25,2,"tricube",5,429.671184187615,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
26,2,"tricube",5,220.161597508208,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
27,2,"tricube",5,199.380714381146,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
28,2,"tricube",5,159.280350293002,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
29,2,"tricube",6,5415.09030524186,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
