"batch_id","dataset_id","method","status","selected_lambda_sync","lambda_ridge","selected_support_size","selected_degree","selected_kernel","selected_chart_dim","selected_cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv_ps","sync_energy","mean_sync_squared_disagreement","ridge_median","ridge_max","elapsed_sec"
"FB01","LA-D1-RAW-N500","ridge-LPS auto","ok",0,1e-08,35,2,"gaussian",2,0.124801500520383,0.0904398230427989,0.0417422419196143,5.1554554981604,4.57209292550024,0.000272132190263822,2.81482023654838e-07,3.30190087671066e-07,0.29
"FB01","LA-D1-RAW-N500","ridge-LPS local.auto","ok",0,1e-08,34,2,"gaussian",2,0.137554396161322,0.0892294977586548,0.0434954851118913,5.29999389491411,5.33938914025474,0.000328002527506366,2.73701837653227e-07,3.23228894685112e-07,0.239
"FB01","LA-D1-RAW-N500","PS-LPS auto","ok",1,1e-08,35,2,"gaussian",2,0.109232172190474,0.0932768614562093,0.0337127319744868,5.29447712877768,0.74575716281821,4.43876652179918e-05,9.07555067680233e-06,9.07555067680233e-06,33.312
"FB01","LA-D1-RAW-N500","PS-LPS local.auto","ok",1,1e-08,34,2,"gaussian",2,0.11097308083935,0.0921283638520135,0.0342544418590999,5.46346071582127,0.754654617456818,4.63589776691902e-05,8.81843418697523e-06,8.81843418697523e-06,31.149
"FB02","LA-D1-HC-Li-N500","ridge-LPS auto","ok",0,1e-08,26,2,"gaussian",1,0.421814971459578,0.0985810180464482,0.0434833624895596,5.61520408577683,7.82491814889789,0.000633340198804263,2.10906810602879e-07,2.56105572622955e-07,0.173999999999992
"FB02","LA-D1-HC-Li-N500","ridge-LPS local.auto","ok",0,1e-08,32,2,"gaussian",2,0.420261437841191,0.0957215533260698,0.0381616941753578,5.86009261123674,8.95174174243947,0.000581376311042173,2.569370397079e-07,3.08154611640653e-07,0.177000000000007
"FB02","LA-D1-HC-Li-N500","PS-LPS auto","ok",1,1e-08,26,2,"gaussian",1,0.114289069253044,0.101337457931163,0.0442266623755854,5.91897324287661,1.88754730938829,0.000152775986333967,7.96610556748279e-06,7.96610556748279e-06,17.912
"FB02","LA-D1-HC-Li-N500","PS-LPS local.auto","ok",1,1e-08,32,2,"gaussian",2,0.12091085245439,0.101012795773483,0.0425463371759189,6.27456137497262,2.04108186394824,0.000132559302841766,9.87804591841924e-06,9.87804591841924e-06,27.709
"FB03","LA-D1-HC-Lc-N500","ridge-LPS auto","ok",0,1e-08,27,2,"tricube",2,0.221345164039077,0.080528131797457,0.0538503429269468,2.73833747704554,8.12460627347631,0.000648035904711916,1.07712331049518e-07,2.59869600307916e-07,0.180000000000007
"FB03","LA-D1-HC-Lc-N500","ridge-LPS local.auto","ok",0,1e-08,23,2,"tricube",2,0.23674659295351,0.0790193309762273,0.055835956395227,3.4493152872571,7.88139789246838,0.000746712972737235,9.37638008896652e-08,2.3e-07,0.171999999999997
"FB03","LA-D1-HC-Lc-N500","PS-LPS auto","ok",1,1e-08,27,2,"tricube",2,0.111094808188163,0.0881959081971741,0.0409187855307945,2.88493546352204,0.491353358557451,3.91913906382783e-05,7.48986959110364e-06,7.48986959110364e-06,19.857
"FB03","LA-D1-HC-Lc-N500","PS-LPS local.auto","ok",1,1e-08,23,2,"tricube",2,0.122267072490232,0.0873426084910936,0.0420112126752178,3.66956742367713,0.372518163682961,3.52937574269837e-05,6.36999999076978e-06,6.36999999076978e-06,14.444
"FB04","LA-D1-HC-Gv-N500","ridge-LPS auto","ok",0,1e-08,35,2,"tricube",1,0.120962857471965,0.09568317898455,0.0455839422959069,2.56075619085931,10.8904799790227,0.000648301071448586,1.44606058672361e-07,3.25200038372343e-07,0.183999999999997
"FB04","LA-D1-HC-Gv-N500","ridge-LPS local.auto","ok",0,1e-08,35,2,"tricube",1,0.122643091930574,0.0899358641455313,0.0399827119785486,2.87327764707069,7.81308921801335,0.00046510659962813,1.44606058672361e-07,3.25200038372343e-07,0.250999999999976
"FB04","LA-D1-HC-Gv-N500","PS-LPS auto","ok",0.1,1e-08,35,2,"tricube",1,0.114326175230977,0.0973712773320834,0.0429000754533826,2.58361322001701,2.94692909055194,0.000175428198809221,1.17063168955509e-06,1.17063168955509e-06,31.644
"FB04","LA-D1-HC-Gv-N500","PS-LPS local.auto","ok",1,1e-08,35,2,"tricube",1,0.105076149654894,0.0942229867265674,0.0323601957381746,2.96508822446563,0.285513314468012,1.699636637127e-05,9.04563168538853e-06,9.04563168538853e-06,32.62
"FB05","LA-D1-HC-Bv-N500","ridge-LPS auto","ok",0,1e-08,15,2,"tricube",2,0.374818232314938,0.0745015425041035,0.0619125654588695,4.37868493906433,4.44630370732217,0.000662581321956525,6.61356052937347e-08,1.5e-07,0.159999999999997
"FB05","LA-D1-HC-Bv-N500","ridge-LPS local.auto","ok",0,1e-08,34,2,"gaussian",2,0.191844576205846,0.0902070668015827,0.041211817033241,5.00569092205724,4.1030291252812,0.000255935447614882,2.63187138067867e-07,3.1633017771161e-07,0.180000000000007
