"batch_id","dataset_id","method","lambda.sync","lambda.ridge","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","ridge.median","ridge.max"
"FB01","LA-D1-RAW-N500","ridge-LPS auto",0,1e-08,0.124801500520383,5.1554554981604,4.57209292550024,0.000272132190263822,2.81482023654838e-07,3.30190087671066e-07
"FB01","LA-D1-RAW-N500","ridge-LPS local.auto",0,1e-08,0.137554396161322,5.29999389491411,5.33938914025474,0.000328002527506366,2.73701837653227e-07,3.23228894685112e-07
"FB01","LA-D1-RAW-N500","PS-LPS auto",0,1e-08,0.124801500520383,5.1554554981604,4.57209292550024,0.000272132190263822,2.81482023654838e-07,3.30190087671066e-07
"FB01","LA-D1-RAW-N500","PS-LPS auto",0.1,1e-08,0.113366576337887,5.18688019077186,2.82347919871688,0.000168054234905363,1.20055068061482e-06,1.20055068061482e-06
"FB01","LA-D1-RAW-N500","PS-LPS auto",1,1e-08,0.109232172190474,5.29447712877768,0.74575716281821,4.43876652179918e-05,9.07555067680233e-06,9.07555067680233e-06
"FB01","LA-D1-RAW-N500","PS-LPS local.auto",0,1e-08,0.137554396161322,5.29999389491411,5.33938914025474,0.000328002527506366,2.73701837653227e-07,3.23228894685112e-07
"FB01","LA-D1-RAW-N500","PS-LPS local.auto",0.1,1e-08,0.123973095745603,5.33433686748479,3.23998131672563,0.000199034390085437,1.16843419074294e-06,1.16843419074294e-06
"FB01","LA-D1-RAW-N500","PS-LPS local.auto",1,1e-08,0.11097308083935,5.46346071582127,0.754654617456818,4.63589776691902e-05,8.81843418697523e-06,8.81843418697523e-06
"FB02","LA-D1-HC-Li-N500","ridge-LPS auto",0,1e-08,0.421814971459578,5.61520408577683,7.82491814889789,0.000633340198804263,2.10906810602879e-07,2.56105572622955e-07
"FB02","LA-D1-HC-Li-N500","ridge-LPS local.auto",0,1e-08,0.420261437841191,5.86009261123674,8.95174174243947,0.000581376311042173,2.569370397079e-07,3.08154611640653e-07
"FB02","LA-D1-HC-Li-N500","PS-LPS auto",0,1e-08,0.421814971459578,5.61520408577683,7.82491814889789,0.000633340198804263,2.10906810602879e-07,2.56105572622955e-07
"FB02","LA-D1-HC-Li-N500","PS-LPS auto",0.1,1e-08,0.130683430935503,5.66885491339393,5.4372573655681,0.00044008558240879,1.02710557210894e-06,1.02710557210894e-06
"FB02","LA-D1-HC-Li-N500","PS-LPS auto",1,1e-08,0.114289069253044,5.91897324287661,1.88754730938829,0.000152775986333967,7.96610556748279e-06,7.96610556748279e-06
"FB02","LA-D1-HC-Li-N500","PS-LPS local.auto",0,1e-08,0.420261437841191,5.86009261123674,8.95174174243947,0.000581376311042173,2.569370397079e-07,3.08154611640653e-07
"FB02","LA-D1-HC-Li-N500","PS-LPS local.auto",0.1,1e-08,0.122932734201248,5.94045971955179,6.00963053791183,0.00039029910975799,1.26504592280535e-06,1.26504592280535e-06
