"batch_id","dataset_id","chart_dim_rule","lambda_ridge","lambda_sync","status","error","support_size","degree","kernel","chart_dim_summary","cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv","sync_energy","mean_sync_squared_disagreement","ridge_median","ridge_max","elapsed_sec","selected_by_cv","requested_zero_ridge_fallback","baseline_truth_rmse","baseline_cv_rmse_observed","baseline_total_local_gcv","baseline_sync_energy","baseline_mean_sync_squared_disagreement","truth_rmse_delta_vs_matched_baseline","cv_rmse_delta_vs_matched_baseline"
"FB01","LA-D1-RAW-N500","auto",0,10,"ok",,35,2,"gaussian",2,0.107804516613216,0.0945110871271653,0.0336413482506175,5.29793996160486,0.181107337301545,1.07795570159646e-05,0,0,18.72,TRUE,FALSE,0.0467257316615594,0.61695298017139,5.00440964404738,5.72730926226874,0.000340890974714592,-0.0130843834109419,-0.509148463558174
"FB01","LA-D1-RAW-N500","auto",1e-10,10,"ok",,35,2,"gaussian",2,0.107190011516679,0.0957398104984823,0.0313898176040773,5.41562060997983,0.146918162330097,8.74460820370374e-06,8.78255506386762e-07,8.78255506386762e-07,19.253,TRUE,FALSE,0.0447925820418292,0.138367726772694,5.09732351093083,4.91141876073786,0.000292328954472461,-0.013402764437752,-0.0311777152560148
"FB01","LA-D1-RAW-N500","auto",1e-08,10,"ok",,35,2,"gaussian",2,0.106337352514263,0.0965320855394848,0.0298478126700057,5.49175463192731,0.125345786865168,7.46061466286328e-06,8.78255506386762e-05,8.78255506386762e-05,19.327,TRUE,FALSE,0.0417422419196143,0.124801500520383,5.1554554981604,4.57209292550024,0.000272132190263822,-0.0118944292496086,-0.0184641480061206
"FB01","LA-D1-RAW-N500","auto",1e-06,10,"ok",,35,2,"gaussian",2,0.104530125350438,0.0980381264526902,0.0261898933179059,5.62491285883994,0.107271354721498,6.3848196413757e-06,0.00878255506386762,0.00878255506386762,16.471,TRUE,FALSE,0.0371246403933961,0.111852065372697,5.26247827690165,3.59482167543204,0.000213964744829886,-0.0109347470754903,-0.00732194002225978
"FB01","LA-D1-RAW-N500","local.auto",0,10,"ok",,34,2,"gaussian",2,0.108056499495697,0.0927863558423243,0.0341494281525778,5.384586265396,0.145505240107007,8.93849188865113e-06,0,0,15.775,TRUE,FALSE,0.0491154352290414,86.2161441462404,5.00204095755924,7.71084956061601,0.000473683052249445,-0.0149660070764635,-86.1080876467447
"FB01","LA-D1-RAW-N500","local.auto",1e-10,10,"ok",,34,2,"gaussian",2,0.106747621937255,0.0948769121283503,0.0312205652239827,5.60854234247574,0.115171147790482,7.075046710172e-06,8.53184341492959e-07,8.53184341492959e-07,15.61,TRUE,FALSE,0.0463627931480769,0.164382326046371,5.20049392685201,5.93737795075937,0.000364737411612731,-0.0151422279240943,-0.0576347041091156
"FB01","LA-D1-RAW-N500","local.auto",1e-08,10,"ok",,34,2,"gaussian",2,0.105833127072271,0.0957969082080778,0.0294426026384486,5.68245548016043,0.0961392519479673,5.90590361615788e-06,8.53184341492959e-05,8.53184341492959e-05,15.323,TRUE,FALSE,0.0434954851118913,0.137554396161322,5.29999389491411,5.33938914025474,0.000328002527506366,-0.0140528824734427,-0.031721269089051
"FB01","LA-D1-RAW-N500","local.auto",1e-06,10,"ok",,34,2,"gaussian",2,0.104039537325381,0.0975182774735691,0.0255091264542741,5.82610982728157,0.0782861341712991,4.80917370927257e-06,0.00853184341492959,0.00853184341492959,15.323,TRUE,FALSE,0.0387220743280335,0.112035054570514,5.40620118680607,4.21906076071518,0.000259179946781607,-0.0132129478737594,-0.00799551724513343
"FB02","LA-D1-HC-Li-N500","auto",0,10,"ok",,26,2,"gaussian",1,0.461084354741698,0.103677884247714,0.0519090352087728,6.01846023476992,0.534212063272224,4.3238532073862e-05,0,0,8.87199999999996,TRUE,FALSE,0.0506609139549611,1.63917500042276,5.38626597532014,9.65890003297079,0.000781780659005849,0.00124812125381166,-1.17809064568106
"FB02","LA-D1-HC-Li-N500","auto",1e-10,10,"ok",,26,2,"gaussian",1,0.194844463530832,0.104783555522501,0.0496480421129064,6.16321976488945,0.527018002064584,4.26562527363972e-05,7.73561055212211e-07,7.73561055212211e-07,7.644,TRUE,FALSE,0.0450508104546108,1.581701059458,5.57307051387301,8.32337698956282,0.000673684904682999,0.00459723165829563,-1.38685659592717
"FB02","LA-D1-HC-Li-N500","auto",1e-08,1,"ok",,26,2,"gaussian",1,0.114289069253044,0.101337457931163,0.0442266623755854,5.91897324287661,1.88754730938829,0.000152775986333967,7.96610556748279e-06,7.96610556748279e-06,7.667,TRUE,FALSE,0.0434833624895596,0.421814971459578,5.61520408577683,7.82491814889789,0.000633340198804263,0.000743299886025832,-0.307525902206534
"FB02","LA-D1-HC-Li-N500","auto",1e-06,1,"ok",,26,2,"gaussian",1,0.121692471605847,0.10528896109306,0.0520282345631842,6.48169823685155,1.84768795415534,0.000149549814316946,0.000796610556748279,0.000796610556748279,7.673,TRUE,FALSE,0.0442565085771662,0.13897437986607,5.8378829262709,7.75470097422146,0.000627656898541844,0.007771725986018,-0.0172819082602233
"FB02","LA-D1-HC-Li-N500","local.auto",0,10,"ok",,32,2,"gaussian",2,0.866871684116527,0.101414520551268,0.0500200002503927,6.19876512035303,0.594177220245199,3.85892008896706e-05,0,0,11.749,TRUE,FALSE,0.048657613161673,1.78677054897192,5.43867735743332,12.576045846509,0.000816758945030532,0.00136238708871964,-0.91989886485539
