"batch_id","dataset_id","chart_dim_rule","lambda_ridge","lambda_sync","status","error","support_size","degree","kernel","chart_dim_summary","cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv","sync_energy","mean_sync_squared_disagreement","ridge_median","ridge_max","elapsed_sec","selected_by_cv","requested_zero_ridge_fallback"
"FB01","LA-D1-RAW-N500","auto",0,10,"ok",,35,2,"gaussian",2,0.107804516613216,0.0945110871271653,0.0336413482506175,5.29793996160486,0.181107337301545,1.07795570159646e-05,0,0,18.72,TRUE,FALSE
"FB01","LA-D1-RAW-N500","auto",1e-10,10,"ok",,35,2,"gaussian",2,0.107190011516679,0.0957398104984823,0.0313898176040773,5.41562060997983,0.146918162330097,8.74460820370374e-06,8.78255506386762e-07,8.78255506386762e-07,19.253,TRUE,FALSE
"FB01","LA-D1-RAW-N500","auto",1e-08,10,"ok",,35,2,"gaussian",2,0.106337352514263,0.0965320855394848,0.0298478126700057,5.49175463192731,0.125345786865168,7.46061466286328e-06,8.78255506386762e-05,8.78255506386762e-05,19.327,TRUE,FALSE
"FB01","LA-D1-RAW-N500","auto",1e-06,10,"ok",,35,2,"gaussian",2,0.104530125350438,0.0980381264526902,0.0261898933179059,5.62491285883994,0.107271354721498,6.3848196413757e-06,0.00878255506386762,0.00878255506386762,16.471,TRUE,FALSE
"FB01","LA-D1-RAW-N500","local.auto",0,10,"ok",,34,2,"gaussian",2,0.108056499495697,0.0927863558423243,0.0341494281525778,5.384586265396,0.145505240107007,8.93849188865113e-06,0,0,15.775,TRUE,FALSE
"FB01","LA-D1-RAW-N500","local.auto",1e-10,10,"ok",,34,2,"gaussian",2,0.106747621937255,0.0948769121283503,0.0312205652239827,5.60854234247574,0.115171147790482,7.075046710172e-06,8.53184341492959e-07,8.53184341492959e-07,15.61,TRUE,FALSE
"FB01","LA-D1-RAW-N500","local.auto",1e-08,10,"ok",,34,2,"gaussian",2,0.105833127072271,0.0957969082080778,0.0294426026384486,5.68245548016043,0.0961392519479673,5.90590361615788e-06,8.53184341492959e-05,8.53184341492959e-05,15.323,TRUE,FALSE
"FB01","LA-D1-RAW-N500","local.auto",1e-06,10,"ok",,34,2,"gaussian",2,0.104039537325381,0.0975182774735691,0.0255091264542741,5.82610982728157,0.0782861341712991,4.80917370927257e-06,0.00853184341492959,0.00853184341492959,15.323,TRUE,FALSE
"FB02","LA-D1-HC-Li-N500","auto",0,10,"ok",,26,2,"gaussian",1,0.461084354741698,0.103677884247714,0.0519090352087728,6.01846023476992,0.534212063272224,4.3238532073862e-05,0,0,8.87199999999996,TRUE,FALSE
"FB02","LA-D1-HC-Li-N500","auto",1e-10,10,"ok",,26,2,"gaussian",1,0.194844463530832,0.104783555522501,0.0496480421129064,6.16321976488945,0.527018002064584,4.26562527363972e-05,7.73561055212211e-07,7.73561055212211e-07,7.644,TRUE,FALSE
"FB02","LA-D1-HC-Li-N500","auto",1e-08,1,"ok",,26,2,"gaussian",1,0.114289069253044,0.101337457931163,0.0442266623755854,5.91897324287661,1.88754730938829,0.000152775986333967,7.96610556748279e-06,7.96610556748279e-06,7.667,TRUE,FALSE
"FB02","LA-D1-HC-Li-N500","auto",1e-06,1,"ok",,26,2,"gaussian",1,0.121692471605847,0.10528896109306,0.0520282345631842,6.48169823685155,1.84768795415534,0.000149549814316946,0.000796610556748279,0.000796610556748279,7.673,TRUE,FALSE
"FB02","LA-D1-HC-Li-N500","local.auto",0,10,"ok",,32,2,"gaussian",2,0.866871684116527,0.101414520551268,0.0500200002503927,6.19876512035303,0.594177220245199,3.85892008896706e-05,0,0,11.749,TRUE,FALSE
"FB02","LA-D1-HC-Li-N500","local.auto",1e-10,10,"ok",,32,2,"gaussian",2,0.33043512022838,0.103983643608221,0.0477319133106289,6.46974717848262,0.572189263987031,3.71611796995455e-05,9.60080458745594e-07,9.60080458745594e-07,11.768,TRUE,FALSE
"FB02","LA-D1-HC-Li-N500","local.auto",1e-08,0.3,"ok",,32,2,"gaussian",2,0.117354248027858,0.0983247815780993,0.0383319528244792,6.04443154161229,3.9267317971414,0.000255023984422047,3.17904592183066e-06,3.17904592183066e-06,10.656,TRUE,FALSE
"FB02","LA-D1-HC-Li-N500","local.auto",1e-06,3,"ok",,32,2,"gaussian",2,0.126255688029643,0.113240432144448,0.0654708343744556,7.91711954451703,1.36282681237695,8.85096160686557e-05,0.00290180459086729,0.00290180459086729,11.774,TRUE,FALSE
"FB03","LA-D1-HC-Lc-N500","auto",0,10,"ok",,27,2,"tricube",2,0.105945213750514,0.0943068519891126,0.0348255923371251,3.0857680245009,0.11236659748222,8.96259919653109e-06,0.000108122631174722,0.000108122631174722,7.85300000000001,TRUE,TRUE
"FB03","LA-D1-HC-Lc-N500","auto",1e-10,1,"ok",,27,2,"tricube",2,0.123619015923982,0.086412539489137,0.0445365503354942,2.82100060712962,0.546374447520448,4.35799899087159e-05,7.48986959110364e-08,7.48986959110364e-08,7.881,TRUE,FALSE
"FB03","LA-D1-HC-Lc-N500","auto",1e-08,10,"ok",,27,2,"tricube",2,0.106232494257877,0.0940866117532656,0.0352772089212552,3.07445998716257,0.113233213228664,9.0317223146713e-06,7.25598695082656e-05,7.25598695082656e-05,8.041,TRUE,FALSE
"FB03","LA-D1-HC-Lc-N500","auto",1e-06,10,"ok",,27,2,"tricube",2,0.10516045909247,0.0965923819217276,0.0312993542743903,3.22448262339999,0.119435515397757,9.5264311488171e-06,0.00725598695082655,0.00725598695082655,8.066,TRUE,FALSE
"FB03","LA-D1-HC-Lc-N500","local.auto",0,10,"ok",,23,2,"tricube",2,0.116351972085644,0.0925348736885587,0.0334115695274689,3.90044209401021,0.0553290542434187,5.24208054669137e-06,9.18358563001444e-05,9.18358563001444e-05,6.57400000000001,TRUE,TRUE
"FB03","LA-D1-HC-Lc-N500","local.auto",1e-10,10,"ok",,23,2,"tricube",2,0.123176373875452,0.0909195406934895,0.0375519629527112,3.79565148460362,0.067153624161372,6.36238431453082e-06,6.16299999076993e-07,6.16299999076993e-07,6.53399999999999,TRUE,FALSE
"FB03","LA-D1-HC-Lc-N500","local.auto",1e-08,10,"ok",,23,2,"tricube",2,0.117604964038864,0.0923393953061637,0.0338918203127537,3.88808614013461,0.0559071422208435,5.29685075345114e-06,6.16299999076993e-05,6.16299999076993e-05,6.72300000000001,TRUE,FALSE
"FB03","LA-D1-HC-Lc-N500","local.auto",1e-06,10,"ok",,23,2,"tricube",2,0.104849243837226,0.0947152454109305,0.0281160219567669,4.07155730021568,0.0654271261310025,6.19880946470448e-06,0.00616299999076993,0.00616299999076993,6.79600000000002,TRUE,FALSE
"FB04","LA-D1-HC-Gv-N500","auto",0,10,"ok",,35,2,"tricube",1,0.118187623487534,0.104561057199503,0.0537530524156496,2.68808340611068,0.319891273108122,1.90428572021175e-05,0,0,13.431,TRUE,FALSE
"FB04","LA-D1-HC-Gv-N500","auto",1e-10,3,"ok",,35,2,"tricube",1,0.115838579925974,0.103414119735235,0.0485022504542631,2.67094349661103,0.528228604823669,3.14450025285028e-05,2.65456316761291e-07,2.65456316761291e-07,13.453,TRUE,FALSE
"FB04","LA-D1-HC-Gv-N500","auto",1e-08,0.3,"ok",,35,2,"tricube",1,0.114003309011354,0.0989019200866308,0.0432667148122037,2.60524115330371,1.73751357936574,0.000103432715300797,2.92063168862919e-06,2.92063168862919e-06,13.453,TRUE,FALSE
"FB04","LA-D1-HC-Gv-N500","auto",1e-06,0.1,"ok",,35,2,"tricube",1,0.11343839858145,0.0985648123392481,0.0424167827595414,2.62312687008139,2.82041024847307,0.00016789663903994,0.000117063168955509,0.000117063168955509,13.303,TRUE,FALSE
"FB04","LA-D1-HC-Gv-N500","local.auto",0,10,"ok",,35,2,"tricube",1,0.108918457948642,0.0919409578362527,0.0376737338149963,2.74264589502663,0.122931847714066,7.31802902550634e-06,0,0,13.697,TRUE,FALSE
