"batch_id","dataset_id","method","lambda.sync","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.disagreement"
"FB09","LA-13K-SUB-N500","PS-LPS local.auto",0,2.15538108451421,14.2347435235352,0,0
"FB09","LA-13K-SUB-N500","PS-LPS local.auto",0.1,1.38300162118312,14.7484006910405,8.37545208347824,0.00142330735039006
"FB09","LA-13K-SUB-N500","PS-LPS local.auto",1,0.258760915185019,18.1635791543926,1.99537959180094,0.00033909076328321
"FB10","SYN-PARA-LINE-N500","PS-LPS auto",0,0.111378634071614,5.28219502533535,0,0
"FB10","SYN-PARA-LINE-N500","PS-LPS auto",0.1,0.110186549001218,5.28913367761755,3.45263130954621,0.000240308426101118
"FB10","SYN-PARA-LINE-N500","PS-LPS auto",1,0.108448768938567,5.36422323128584,0.865147950062741,6.02156221109838e-05
"FB10","SYN-PARA-LINE-N500","PS-LPS local.auto",0,0.112719877933082,5.37145204010995,0,0
"FB10","SYN-PARA-LINE-N500","PS-LPS local.auto",0.1,0.111025219378605,5.38262925582786,3.59706409764772,0.000275563189984842
"FB10","SYN-PARA-LINE-N500","PS-LPS local.auto",1,0.109052847774004,5.4847029165831,0.8710370617067,6.67282385865421e-05
"FB11","SYN-SADDLE-LINE-N500","PS-LPS auto",0,0.113067817658004,5.30100223454945,0,0
"FB11","SYN-SADDLE-LINE-N500","PS-LPS auto",0.1,0.107920315077058,5.31000794063526,3.87680805123635,0.000293120221858552
"FB11","SYN-SADDLE-LINE-N500","PS-LPS auto",1,0.105288252262416,5.40268366083703,1.06688808112988,8.0665967183829e-05
"FB11","SYN-SADDLE-LINE-N500","PS-LPS local.auto",0,0.112965172586417,5.29379649575695,0,0
"FB11","SYN-SADDLE-LINE-N500","PS-LPS local.auto",0.1,0.10782141549188,5.3028670472195,3.90224961981158,0.000295043824504503
"FB11","SYN-SADDLE-LINE-N500","PS-LPS local.auto",1,0.105224003626104,5.39626732942818,1.06925057790251,8.08445923747031e-05
"FB12","SYN-TWO-PLANES-N600","PS-LPS auto",0,0.11118330232971,5.87009473630046,0,0
"FB12","SYN-TWO-PLANES-N600","PS-LPS auto",0.1,0.10992980530977,5.88361303737192,6.97826906206325,0.000406516897777041
"FB12","SYN-TWO-PLANES-N600","PS-LPS auto",1,0.107974523090759,6.0319759330906,1.86040778210164,0.000108377477774784
"FB12","SYN-TWO-PLANES-N600","PS-LPS local.auto",0,0.11166930945597,6.07029413874235,0,0
"FB12","SYN-TWO-PLANES-N600","PS-LPS local.auto",0.1,0.110323326745232,6.08464513466778,6.23030490136823,0.000362944477804423
"FB12","SYN-TWO-PLANES-N600","PS-LPS local.auto",1,0.108380356554144,6.2407313126426,1.56583534419115,9.12172518555811e-05
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS auto",0,0.227254558958334,9.80363873759749,0,0
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS auto",0.1,0.151750946366757,10.3393942481278,2.35919784876965,0.000262256508362836
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS auto",1,0.121411196986177,11.6164682825505,0.427090870421991,4.74768830808019e-05
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS local.auto",0,0.161443326213441,6.58201182246424,0,0
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS local.auto",0.1,0.112442309327175,6.67271789563131,7.67671394869221,0.000386931146919892
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS local.auto",1,0.104778577858036,7.0539903997367,1.79615710274253,9.05321121064921e-05
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS auto",0,1.41917263619812,23.5341370504915,0,0
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS auto",0.1,0.388921054369735,24.986122419691,22.1683795607526,0.00128915908268948
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS auto",1,0.264392797536688,36.6563535416921,5.67390454973574,0.000329954905569863
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS local.auto",0,1.09433258956357,19.7555280988522,0,0
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS local.auto",0.1,0.170182351734213,21.160216182471,25.1847966110831,0.00146457296113541
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS local.auto",1,0.141815587802264,32.1951411170099,6.3835104967209,0.000371220662012701
