"task_id","dataset_id","chart_dim_rule","n","p","support_grid","n_support_values","n_local_candidates_planned","n_local_candidates_evaluated","local_grid_total_elapsed_sec","local_grid_screening_sec","local_grid_candidate_loop_sec","n_lambda_rows","n_unique_lambda","lambda_search_stages","selected_support_size","selected_lambda_sync","selected_cv_rmse_observed","elapsed_sec","cache_backend","phase_component_cache_sec","phase_component_combine_sec","phase_ridge_normal_sec","phase_solve_sec","phase_fitted_sec","rprof_top_csv","solve_phase_csv","local_candidate_timing_csv"
"bp7x_0016__LA_D1_HC_Li_N500__auto__ps_lps__monomial_tiny_ridge","LA-D1-HC-Li-N500","auto",500,3,"15:35",21,21,4,6.998,2.273,4.713,26,7,"coarse;boundary_expand_right",16,10,0.122756184145159,6.998,"component",0.0209999999999999,0.000999999999999446,0.00499999999999989,0.00100000000000033,0,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0016__LA_D1_HC_Li_N500__auto__ps_lps__monomial_tiny_ridge_Rprof_by_total.csv","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0016__LA_D1_HC_Li_N500__auto__ps_lps__monomial_tiny_ridge_solve_phase_timings.csv","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0016__LA_D1_HC_Li_N500__auto__ps_lps__monomial_tiny_ridge_local_candidate_timing.csv"
"bp7x_0112__SYN_PARA_LINE_N500__auto__ps_lps__monomial_tiny_ridge","SYN-PARA-LINE-N500","auto",500,3,"15:35",21,21,11,22.005,2.307,19.684,88,8,"coarse;boundary_expand_right",30,30,0.104381936016614,22.028,"component",0.0529999999999973,0.00400000000000134,0.00300000000000011,0.00600000000000023,0.000999999999997669,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0112__SYN_PARA_LINE_N500__auto__ps_lps__monomial_tiny_ridge_Rprof_by_total.csv","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0112__SYN_PARA_LINE_N500__auto__ps_lps__monomial_tiny_ridge_solve_phase_timings.csv","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0112__SYN_PARA_LINE_N500__auto__ps_lps__monomial_tiny_ridge_local_candidate_timing.csv"
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","SYN-SIMPLEX-FACES-N600","auto",600,5,"15:35",21,21,4,23.208,3.333,19.863,32,8,"coarse;boundary_expand_right",25,10,0.102266163707269,23.209,"component",0.114000000000004,0.0189999999999984,0.0189999999999984,0.0240000000000009,0,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge_Rprof_by_total.csv","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge_solve_phase_timings.csv","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_monomial_backend_profile_2026-06-07/tables/bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge_local_candidate_timing.csv"
