"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label","dataset.id"
34,1,"tricube",1,0.252698580570806,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,1,"tricube",1,0.261260138744612,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,2,"tricube",1,0.104131877706104,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,2,"tricube",1,0.104470612358038,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,2,"tricube",1,0.104313964703116,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,2,"tricube",1,0.104138927047549,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
19,2,"tricube",1,0.103443899574289,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
20,2,"tricube",1,0.103491513565724,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
21,2,"tricube",1,0.103199370554969,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
22,2,"tricube",1,0.102709210929861,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
23,2,"tricube",1,0.102292157427185,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
24,2,"tricube",1,0.102159972828266,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
25,2,"tricube",1,0.10270898558089,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
26,2,"tricube",1,0.103540259316326,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
27,2,"tricube",1,0.105229192953554,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
28,2,"tricube",1,0.106471433494608,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
29,2,"tricube",1,0.107959264640395,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
30,2,"tricube",1,0.109252025456606,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
31,2,"tricube",1,0.111393425674667,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
32,2,"tricube",1,0.113005173811213,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
33,2,"tricube",1,0.114333046297222,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
34,2,"tricube",1,0.116652110633342,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,2,"tricube",1,0.118779558904281,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,1,"gaussian",1,0.152567404893956,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,1,"gaussian",1,0.162569899828618,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,1,"gaussian",1,0.172567103011864,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,1,"gaussian",1,0.184982945919543,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
19,1,"gaussian",1,0.194134128957267,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
20,1,"gaussian",1,0.205311982170351,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
21,1,"gaussian",1,0.217495650610648,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
22,1,"gaussian",1,0.229634149035389,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
23,1,"gaussian",1,0.243779662521812,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
24,1,"gaussian",1,0.256418728317849,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
25,1,"gaussian",1,0.270055817919244,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
26,1,"gaussian",1,0.285214300006414,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
27,1,"gaussian",1,0.301587032337843,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
28,1,"gaussian",1,0.316322924917084,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
29,1,"gaussian",1,0.332555164108716,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
30,1,"gaussian",1,0.34790594999507,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
31,1,"gaussian",1,0.364390581359463,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
32,1,"gaussian",1,0.380849492251146,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
33,1,"gaussian",1,0.396502171783552,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
34,1,"gaussian",1,0.412753791209905,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,1,"gaussian",1,0.428297653084789,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,2,"gaussian",1,0.103948608744386,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,2,"gaussian",1,0.103278321433718,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,2,"gaussian",1,0.102609415999667,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,2,"gaussian",1,0.102277482730401,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
19,2,"gaussian",1,0.102188667969071,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
20,2,"gaussian",1,0.103333984964903,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
21,2,"gaussian",1,0.104857407106424,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
22,2,"gaussian",1,0.108096120337946,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
23,2,"gaussian",1,0.112230478750465,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
24,2,"gaussian",1,0.114905350316214,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
25,2,"gaussian",1,0.118054923539005,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
26,2,"gaussian",1,0.120597362731987,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
27,2,"gaussian",1,0.123446307788269,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
28,2,"gaussian",1,0.12670489538321,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
29,2,"gaussian",1,0.129479732522591,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
30,2,"gaussian",1,0.134273427631388,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
31,2,"gaussian",1,0.141407705632908,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
32,2,"gaussian",1,0.143932497882597,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
33,2,"gaussian",1,0.152275894778215,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
34,2,"gaussian",1,0.156617275617688,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,2,"gaussian",1,0.162675579392363,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,1,"tricube",1,0.114942915745551,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,1,"tricube",1,0.118893289199817,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,1,"tricube",1,0.121701704965423,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,1,"tricube",1,0.126659136572947,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
19,1,"tricube",1,0.129360440727522,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
20,1,"tricube",1,0.133331046497127,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
21,1,"tricube",1,0.1390404012642,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
22,1,"tricube",1,0.14389665415793,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
23,1,"tricube",1,0.14943479542665,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
24,1,"tricube",1,0.156710416252595,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
25,1,"tricube",1,0.168260809327599,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
26,1,"tricube",1,0.173846187761199,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
27,1,"tricube",1,0.183868501870898,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
28,1,"tricube",1,0.194621810755192,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
29,1,"tricube",1,0.204331353904517,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
30,1,"tricube",1,0.2125301134933,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
31,1,"tricube",1,0.225529445618861,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
32,1,"tricube",1,0.23371303364313,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
33,1,"tricube",1,0.243883474313718,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
34,1,"tricube",1,0.252698580570806,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,1,"tricube",1,0.261260138744612,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,2,"tricube",1,0.104131877706104,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,2,"tricube",1,0.104470612358037,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,2,"tricube",1,0.104313964703116,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,2,"tricube",1,0.104138927047549,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
19,2,"tricube",1,0.103443899574289,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
20,2,"tricube",1,0.103491513565724,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
21,2,"tricube",1,0.103199370554969,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
22,2,"tricube",1,0.102709210929861,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
23,2,"tricube",1,0.102292157427185,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
24,2,"tricube",1,0.102159972828266,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
25,2,"tricube",1,0.10270898558089,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
26,2,"tricube",1,0.103540259316326,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
27,2,"tricube",1,0.105229192953554,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
28,2,"tricube",1,0.106471433494608,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
29,2,"tricube",1,0.107959264640395,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
30,2,"tricube",1,0.109252025456606,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
31,2,"tricube",1,0.111393425674667,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
32,2,"tricube",1,0.113005173811213,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
33,2,"tricube",1,0.114333046297222,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
34,2,"tricube",1,0.116652110633342,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,2,"tricube",1,0.118779558904281,"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,1,"gaussian",2,0.29061803500246,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
16,1,"gaussian",2,0.3017367158824,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
17,1,"gaussian",2,0.316632253758931,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
18,1,"gaussian",2,0.330373359937158,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
19,1,"gaussian",2,0.343432497261937,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
20,1,"gaussian",2,0.354451481761661,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
21,1,"gaussian",2,0.367603355291209,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
22,1,"gaussian",2,0.379333049053173,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
23,1,"gaussian",2,0.393392333044618,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
24,1,"gaussian",2,0.400334182263061,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
25,1,"gaussian",2,0.408989262419348,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
26,1,"gaussian",2,0.420499986206402,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
27,1,"gaussian",2,0.430631052599696,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
28,1,"gaussian",2,0.442558480123856,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
29,1,"gaussian",2,0.452459041098252,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
30,1,"gaussian",2,0.460651618003932,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
31,1,"gaussian",2,0.470393587651651,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
32,1,"gaussian",2,0.478922131845716,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
33,1,"gaussian",2,0.487852421363182,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
34,1,"gaussian",2,0.497443735044381,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
35,1,"gaussian",2,0.506617026091502,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
15,2,"gaussian",2,0.142382300029099,"auto","p7d_square_aniso_three_gaussian_v1__noise_sd010_r01"
