"task_id","dataset_id","chart_dim_rule","result_path","batch_id","status_path","log_path","status","started_at","finished_at","elapsed_sec","hostname","pid","error_message","error_class"
"FB06__LA_D2_RAW_N500__chart_auto","LA-D2-RAW-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB06__LA_D2_RAW_N500__chart_auto.rds","FB06","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB06__LA_D2_RAW_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB06__LA_D2_RAW_N500__chart_auto.log","ok","2026-06-05 06:07:10 EDT","2026-06-05 06:07:31 EDT",20.841,"pgajerm4-osx","14493",NA,NA
"FB06__LA_D2_RAW_N500__chart_local_auto","LA-D2-RAW-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB06__LA_D2_RAW_N500__chart_local_auto.rds","FB06","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB06__LA_D2_RAW_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB06__LA_D2_RAW_N500__chart_local_auto.log","ok","2026-06-05 06:07:10 EDT","2026-06-05 06:07:42 EDT",31.75,"pgajerm4-osx","14494",NA,NA
"FB07__LA_D2_HC_TOP1_N500__chart_auto","LA-D2-HC-TOP1-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB07__LA_D2_HC_TOP1_N500__chart_auto.rds","FB07","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB07__LA_D2_HC_TOP1_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB07__LA_D2_HC_TOP1_N500__chart_auto.log","ok","2026-06-05 06:07:10 EDT","2026-06-05 06:07:29 EDT",19.452,"pgajerm4-osx","14495",NA,NA
"FB07__LA_D2_HC_TOP1_N500__chart_local_auto","LA-D2-HC-TOP1-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB07__LA_D2_HC_TOP1_N500__chart_local_auto.rds","FB07","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB07__LA_D2_HC_TOP1_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB07__LA_D2_HC_TOP1_N500__chart_local_auto.log","ok","2026-06-05 06:07:10 EDT","2026-06-05 06:07:42 EDT",31.698,"pgajerm4-osx","14496",NA,NA
"FB08__LA_D3_RAW_N500__chart_auto","LA-D3-RAW-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB08__LA_D3_RAW_N500__chart_auto.rds","FB08","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB08__LA_D3_RAW_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB08__LA_D3_RAW_N500__chart_auto.log","ok","2026-06-05 06:07:31 EDT","2026-06-05 06:07:55 EDT",24.353,"pgajerm4-osx","14650",NA,NA
"FB08__LA_D3_RAW_N500__chart_local_auto","LA-D3-RAW-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB08__LA_D3_RAW_N500__chart_local_auto.rds","FB08","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB08__LA_D3_RAW_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB08__LA_D3_RAW_N500__chart_local_auto.log","ok","2026-06-05 06:07:32 EDT","2026-06-05 06:08:08 EDT",36.431,"pgajerm4-osx","14659",NA,NA
"FB09__LA_13K_SUB_N500__chart_auto","LA-13K-SUB-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB09__LA_13K_SUB_N500__chart_auto.rds","FB09","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB09__LA_13K_SUB_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB09__LA_13K_SUB_N500__chart_auto.log","ok","2026-06-05 06:07:44 EDT","2026-06-05 06:08:18 EDT",33.995,"pgajerm4-osx","14740",NA,NA
"FB09__LA_13K_SUB_N500__chart_local_auto","LA-13K-SUB-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB09__LA_13K_SUB_N500__chart_local_auto.rds","FB09","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB09__LA_13K_SUB_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB09__LA_13K_SUB_N500__chart_local_auto.log","ok","2026-06-05 06:07:44 EDT","2026-06-05 06:08:31 EDT",46.894,"pgajerm4-osx","14741",NA,NA
"FB10__SYN_PARA_LINE_N500__chart_auto","SYN-PARA-LINE-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB10__SYN_PARA_LINE_N500__chart_auto.rds","FB10","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB10__SYN_PARA_LINE_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB10__SYN_PARA_LINE_N500__chart_auto.log","ok","2026-06-05 06:07:57 EDT","2026-06-05 06:08:03 EDT",5.2,"pgajerm4-osx","15078",NA,NA
"FB10__SYN_PARA_LINE_N500__chart_local_auto","SYN-PARA-LINE-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB10__SYN_PARA_LINE_N500__chart_local_auto.rds","FB10","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB10__SYN_PARA_LINE_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB10__SYN_PARA_LINE_N500__chart_local_auto.log","ok","2026-06-05 06:08:05 EDT","2026-06-05 06:08:18 EDT",13.242,"pgajerm4-osx","15090",NA,NA
"FB11__SYN_SADDLE_LINE_N500__chart_auto","SYN-SADDLE-LINE-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB11__SYN_SADDLE_LINE_N500__chart_auto.rds","FB11","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB11__SYN_SADDLE_LINE_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB11__SYN_SADDLE_LINE_N500__chart_auto.log","ok","2026-06-05 06:08:10 EDT","2026-06-05 06:08:15 EDT",5.266,"pgajerm4-osx","15099",NA,NA
"FB11__SYN_SADDLE_LINE_N500__chart_local_auto","SYN-SADDLE-LINE-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB11__SYN_SADDLE_LINE_N500__chart_local_auto.rds","FB11","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB11__SYN_SADDLE_LINE_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB11__SYN_SADDLE_LINE_N500__chart_local_auto.log","ok","2026-06-05 06:08:18 EDT","2026-06-05 06:08:30 EDT",12.711,"pgajerm4-osx","15114",NA,NA
"FB12__SYN_TWO_PLANES_N600__chart_auto","SYN-TWO-PLANES-N600","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB12__SYN_TWO_PLANES_N600__chart_auto.rds","FB12","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB12__SYN_TWO_PLANES_N600__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB12__SYN_TWO_PLANES_N600__chart_auto.log","ok","2026-06-05 06:08:20 EDT","2026-06-05 06:08:26 EDT",5.785,"pgajerm4-osx","15124",NA,NA
"FB12__SYN_TWO_PLANES_N600__chart_local_auto","SYN-TWO-PLANES-N600","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB12__SYN_TWO_PLANES_N600__chart_local_auto.rds","FB12","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB12__SYN_TWO_PLANES_N600__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB12__SYN_TWO_PLANES_N600__chart_local_auto.log","ok","2026-06-05 06:08:20 EDT","2026-06-05 06:08:34 EDT",14.617,"pgajerm4-osx","15125",NA,NA
"FB13__SYN_SIMPLEX_FACES_N600__chart_auto","SYN-SIMPLEX-FACES-N600","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB13__SYN_SIMPLEX_FACES_N600__chart_auto.rds","FB13","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB13__SYN_SIMPLEX_FACES_N600__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB13__SYN_SIMPLEX_FACES_N600__chart_auto.log","ok","2026-06-05 06:08:27 EDT","2026-06-05 06:08:33 EDT",5.858,"pgajerm4-osx","15167",NA,NA
"FB13__SYN_SIMPLEX_FACES_N600__chart_local_auto","SYN-SIMPLEX-FACES-N600","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB13__SYN_SIMPLEX_FACES_N600__chart_local_auto.rds","FB13","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB13__SYN_SIMPLEX_FACES_N600__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB13__SYN_SIMPLEX_FACES_N600__chart_local_auto.log","ok","2026-06-05 06:08:32 EDT","2026-06-05 06:08:48 EDT",15.234,"pgajerm4-osx","15180",NA,NA
"FB14__SYN_RANK_BLOCKS_N600_P100__chart_auto","SYN-RANK-BLOCKS-N600-P100","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB14__SYN_RANK_BLOCKS_N600_P100__chart_auto.rds","FB14","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB14__SYN_RANK_BLOCKS_N600_P100__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB14__SYN_RANK_BLOCKS_N600_P100__chart_auto.log","ok","2026-06-05 06:08:32 EDT","2026-06-05 06:08:58 EDT",25.83,"pgajerm4-osx","15181",NA,NA
"FB14__SYN_RANK_BLOCKS_N600_P100__chart_local_auto","SYN-RANK-BLOCKS-N600-P100","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB14__SYN_RANK_BLOCKS_N600_P100__chart_local_auto.rds","FB14","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB14__SYN_RANK_BLOCKS_N600_P100__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB14__SYN_RANK_BLOCKS_N600_P100__chart_local_auto.log","ok","2026-06-05 06:08:35 EDT","2026-06-05 06:09:09 EDT",34.647,"pgajerm4-osx","15199",NA,NA
