"pair_id","dataset_id","geometry_family","repetition","chart_dim_rule","response_seed_match","fold_seed_match","full_status","screened_status","pair_status","pair_complete","pair_exclusion_reason","truth_rmse_full","truth_rmse_screened","delta_truth_rmse","cv_rmse_full","cv_rmse_screened","delta_cv_rmse","elapsed_full","elapsed_screened","elapsed_ratio_screened_full","support_full","support_screened","lambda_full","lambda_screened","full_candidate_key","screened_candidate_key","screened_evaluated_candidate_keys","screened_evaluated_supports","full_support_in_screened_evaluated_supports","full_candidate_key_in_screened_evaluated_candidates","support_match","lambda_match","full_candidates_evaluated","screened_candidates_evaluated","candidate_key_matching_available"
"LA_D1_HC_Li_N500__r03__local_auto","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",3,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0394335913425901,0.0398817090867336,0.000448117744143439,0.107854031998239,0.107887166315222,3.31343169829995e-05,42.347,18.705,0.44170779512126,34,35,1,1,"34|2|tricube","35|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_HC_Lc_N500__r01__auto","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",1,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0295306168499598,0.0295014972302851,-2.91196196746703e-05,0.0960026114534643,0.0966436866161265,0.000641075162662208,40.621,11.483,0.282686295265995,29,35,1,1,"29|2|tricube","35|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_HC_Lc_N500__r01__local_auto","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",1,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0217622412341594,0.0208020580206618,-0.00096018321349765,0.103580787100401,0.104313102101334,0.000732315000932959,55.888,20.276,0.362797022616662,22,16,30,90,"22|2|tricube","16|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,FALSE,21,4,TRUE
"LA_D1_HC_Lc_N500__r02__auto","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",2,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0296603444378159,0.0296603444378159,0,0.101673516472855,0.101673516472855,0,40.739,11.336,0.278259161982376,35,35,1,1,"35|2|tricube","35|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",TRUE,TRUE,TRUE,TRUE,21,4,TRUE
"LA_D1_HC_Lc_N500__r02__local_auto","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",2,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0266348357942847,0.0268535601839158,0.000218724389631102,0.106597653836529,0.10672502235804,0.000127368521511503,56.61,20.722,0.366048401342519,33,35,10,10,"33|2|tricube","35|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_HC_Lc_N500__r03__auto","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",3,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0273377312027115,0.0297535116347079,0.00241578043199638,0.106661524564253,0.107571528928533,0.000910004364280029,41.458,11.654,0.281103767668484,29,25,1,1,"29|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_HC_Lc_N500__r03__local_auto","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube",3,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0235030100701656,0.0216409362408439,-0.00186207382932164,0.104514921507635,0.105036059797254,0.000521138289619555,56.579,20.98,0.370808957387016,21,16,30,90,"21|2|tricube","16|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,FALSE,21,4,TRUE
"LA_D1_HC_Gv_N500__r01__auto","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",1,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0298876419545635,0.0288499771792197,-0.00103766477534376,0.104235469069591,0.104585881928664,0.000350412859073168,36.206,9.937,0.274457272275314,27,15,1,10,"27|2|tricube","15|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,FALSE,21,4,TRUE
"LA_D1_HC_Gv_N500__r01__local_auto","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",1,"local.auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0278735907660737,0.0275602508741762,-0.000313339891897524,0.10096314703375,0.101005779497771,4.26324640213915e-05,42.093,19.438,0.461786995462429,23,25,1,1,"23|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_HC_Gv_N500__r02__auto","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube",2,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0301344972160636,0.0301344972160636,0,0.109231474899357,0.109231474899357,0,35.534,11.032,0.31046321832611,15,15,10,10,"15|2|tricube","15|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",TRUE,TRUE,TRUE,TRUE,21,4,TRUE
