"chart_dim_rule","planned_pairs","complete_pairs","mean_delta_truth_rmse","ci95_lo","ci95_hi","median_delta_truth_rmse","median_elapsed_ratio_screened_full","median_candidates_screened","median_candidates_full","support_inclusion_rate","candidate_key_inclusion_rate"
"auto",42,42,0.00394356520308637,0.000338807897568524,0.00754832250860422,0,0.317787221677382,4.5,21,0.380952380952381,0.380952380952381
"local.auto",42,42,0.000278063581299844,-0.000203934867255371,0.000760062029855059,0,0.414645591766784,4,21,0.30952380952381,0.30952380952381
