"candidate","support.size","degree","kernel","cv.rmse.observed","raw.brier","cv.brier.observed","deployed.clipped.brier","equality.residual","selected"
1,8,0,"gaussian",0.274004306131676,0.0750783597787012,0.0750783597787012,0.0750783597787012,0,FALSE
2,60,0,"gaussian",0.311447513428344,0.0969995536206985,0.0969995536206985,0.0969995536206985,1.38777878078145e-17,FALSE
3,8,2,"gaussian",0.939532204139586,0.882720762615389,0.110365263277818,0.110365263277818,1.38777878078145e-17,FALSE
4,60,2,"gaussian",0.275051775628656,0.0756534792764764,0.0729369170721256,0.0729369170721256,0,TRUE
