"dataset.id","source.file","method","variant.id","variant.label","n","ambient.dim","status","message","truth.rmse","observed.rmse","cv.rmse.observed","selected.support","selected.degree","selected.kernel","selected.chart.dim","selected.lambda.sync","finite.cv.candidates","total.cv.candidates","ridge.multiplier.selected","ridge.condition","ridge.status","frame.cols.min","frame.cols.median","frame.cols.max","frame.kept.min","frame.kept.median","frame.kept.max","elapsed.sec"
"LA-D1-HC-Li-N500","LA-D1-HC-Li-N500.rds","LPS","orthogonal_drop_ridge0","orthogonal polynomial drop, ridge 0",160,3,"ok","",0.0524206409645266,0.0822222318283259,2.02347600914397,25,2,"tricube","1",NA,2,2,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0.136
"LA-D1-HC-Li-N500","LA-D1-HC-Li-N500.rds","LPS","orthogonal_drop_adaptive_tiny","orthogonal polynomial drop + tiny/adaptive ridge",160,3,"ok","",0.0524206409645266,0.0822222318283259,2.02347600914397,25,2,"tricube","1",NA,2,2,NA,1e+12,NA,NA,NA,NA,NA,NA,NA,0.135
"LA-D1-HC-Li-N500","LA-D1-HC-Li-N500.rds","PS-LPS","monomial_tiny_ridge","monomial + tiny ridge",160,3,"ok","",0.0397465095866309,0.0875513805994428,0.109757929107772,25,2,"tricube","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",0.01,2,3,1e-08,NA,"unguarded",NA,NA,NA,NA,NA,NA,0.449000000000001
"LA-D1-HC-Li-N500","LA-D1-HC-Li-N500.rds","PS-LPS","weighted_qr_drop_tiny","weighted QR drop + tiny/adaptive ridge",160,3,"ok","",0.0424835166889841,0.0864028254768058,0.111582806559595,25,2,"tricube","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",0.01,2,3,1e-10,11700940711.2105,"ok",NA,NA,NA,NA,NA,NA,0.63
"LA-D1-HC-Li-N500","LA-D1-HC-Li-N500.rds","PS-LPS","orthogonal_drop_ridge0","orthogonal polynomial drop, ridge 0",160,3,"ok","",0.0469791928605751,0.0836199529204051,0.111120089504846,25,2,"tricube","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",0.01,3,3,0,NA,"unguarded",NA,NA,NA,NA,NA,NA,0.437
"LA-D1-HC-Li-N500","LA-D1-HC-Li-N500.rds","PS-LPS","orthogonal_drop_adaptive_tiny","orthogonal polynomial drop + tiny/adaptive ridge",160,3,"ok","",0.0469791928605751,0.0836199529204051,0.111120089504846,25,2,"tricube","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",0.01,3,3,0,21334.6029584281,"ok",NA,NA,NA,NA,NA,NA,0.55
"SYN-PARA-LINE-N500","SYN-PARA-LINE-N500.rds","LPS","monomial_tiny_ridge","monomial + tiny ridge",160,3,"ok","",0.0566498538421739,0.0779011440270505,0.117076488692081,25,2,"tricube","2",NA,2,2,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0.126000000000001
"SYN-PARA-LINE-N500","SYN-PARA-LINE-N500.rds","LPS","weighted_qr_drop_tiny","weighted QR drop + tiny/adaptive ridge",160,3,"ok","",0.0566498670671146,0.0779011542372184,0.117076515427225,25,2,"tricube","2",NA,2,2,NA,1e+12,NA,NA,NA,NA,NA,NA,NA,0.132
"SYN-PARA-LINE-N500","SYN-PARA-LINE-N500.rds","LPS","orthogonal_drop_ridge0","orthogonal polynomial drop, ridge 0",160,3,"ok","",0.0566498670671146,0.0779011542372184,0.117076515427225,25,2,"tricube","2",NA,2,2,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0.141
"SYN-PARA-LINE-N500","SYN-PARA-LINE-N500.rds","LPS","orthogonal_drop_adaptive_tiny","orthogonal polynomial drop + tiny/adaptive ridge",160,3,"ok","",0.0566498670671146,0.0779011542372184,0.117076515427225,25,2,"tricube","2",NA,2,2,NA,1e+12,NA,NA,NA,NA,NA,NA,NA,0.140000000000001
