"batch_id","dataset_id","method","selected_support_size","selected_degree","selected_kernel","selected_chart_dim","selected_cv_rmse_observed","observed_rmse","truth_rmse","dataset_label","best_truth_rmse","truth_rmse_delta_from_best"
"FB11","SYN-SADDLE-LINE-N500","CV local.auto",32,2,"gaussian",2,0.104694736723141,0.0925045901294008,0.0389127989665151,"FB11 SYN-SADDLE-LINE-N500",0.038886909008219,2.58899582961034e-05
"FB11","SYN-SADDLE-LINE-N500","GCV sum",35,2,"tricube",2,0.10961730913337,0.0876183925270395,0.0444593196301529,"FB11 SYN-SADDLE-LINE-N500",0.038886909008219,0.0055724106219339
"FB12","SYN-TWO-PLANES-N600","CV auto",35,2,"gaussian",2,0.108464075428474,0.0920286179289733,0.03761112191145,"FB12 SYN-TWO-PLANES-N600",0.03761112191145,0
"FB12","SYN-TWO-PLANES-N600","CV local.auto",35,2,"gaussian",2,0.108514815289428,0.091449934241417,0.0383571316161813,"FB12 SYN-TWO-PLANES-N600",0.03761112191145,0.0007460097047313
"FB12","SYN-TWO-PLANES-N600","GCV sum",35,2,"tricube",2,0.113757908460604,0.0845100116149118,0.0446944986507133,"FB12 SYN-TWO-PLANES-N600",0.03761112191145,0.0070833767392633
"FB13","SYN-SIMPLEX-FACES-N600","CV auto",16,2,"tricube",3,418.532477254003,0.0487600515866641,0.0855182857789738,"FB13 SYN-SIMPLEX-FACES-N600",0.0610129155595944,0.0245053702193794
"FB13","SYN-SIMPLEX-FACES-N600","CV local.auto",33,2,"gaussian",3,3.20975711230332,0.0780437387213987,0.0610129155595944,"FB13 SYN-SIMPLEX-FACES-N600",0.0610129155595944,0
"FB13","SYN-SIMPLEX-FACES-N600","GCV sum",22,2,"tricube",5,16353570.4738818,0.0388109764715371,0.0923981767150636,"FB13 SYN-SIMPLEX-FACES-N600",0.0610129155595944,0.0313852611554692
"FB14","SYN-RANK-BLOCKS-N600-P100","CV auto",35,2,"gaussian",6,5.57339674239313,0.00181978193031723,0.100134178800507,"FB14 SYN-RANK-BLOCKS-N600-P100",0.0986552885565928,0.0014788902439142
"FB14","SYN-RANK-BLOCKS-N600-P100","CV local.auto",35,2,"gaussian",6,4.64695579656145,0.0196712359272829,0.0986552885565928,"FB14 SYN-RANK-BLOCKS-N600-P100",0.0986552885565928,0
"FB14","SYN-RANK-BLOCKS-N600-P100","GCV sum",16,2,"tricube",4,1327.75597064449,4.77723881704615e-15,0.100320070809477,"FB14 SYN-RANK-BLOCKS-N600-P100",0.0986552885565928,0.0016647822528842
