"grid_size","n_reps","elapsed_median_sec","elapsed_iqr_sec","elapsed_min_sec","elapsed_max_sec","per_lambda_median_sec"
1,3,5.21799999999999,0.158000000000001,5.045,5.361,5.21799999999999
3,3,8.82899999999999,0.103999999999999,8.742,8.95,2.943
7,3,16.319,0.321500000000007,16.264,16.907,2.33128571428571
