"grid_size","n_reps","elapsed_median_sec","elapsed_iqr_sec","elapsed_min_sec","elapsed_max_sec","per_lambda_median_sec"
1,5,0.423,0.0180000000000007,0.399,0.454,0.423
3,5,1.215,0.00499999999999989,1.21,1.226,0.405
7,5,2.908,0.0639999999999965,2.837,2.97,0.415428571428572
11,5,4.599,0.0659999999999954,4.575,4.668,0.418090909090909
