"lambda_sync","combine_elapsed_sec","solve_elapsed_sec","reported_ridge_normal_sec","reported_solve_sec","reported_diagnostics_sec"
0.01,0.0479999999999947,0.239000000000004,0.0399999999999991,0.191000000000003,0.00799999999999557
0.03,0.0510000000000019,0.241,0.0439999999999969,0.189999999999998,0.00799999999999557
0.1,0.0499999999999972,0.243000000000002,0.0439999999999969,0.190999999999995,0.00799999999999557
0.3,0.0510000000000019,0.241,0.0439999999999969,0.189999999999998,0.00799999999999557
1,0.0510000000000019,0.241,0.0429999999999922,0.189999999999998,0.00799999999999557
3,0.0510000000000019,0.240000000000009,0.0430000000000064,0.189999999999998,0.0069999999999979
10,0.0500000000000043,0.241,0.0430000000000064,0.189999999999998,0.0069999999999979
