"point","truth","y","fit_auto","fit_local_auto","error_auto","error_local_auto","abs_error_auto","abs_error_local_auto","squared_error_auto","squared_error_local_auto","rmse_component","mse_component","local_dim","auto_dim","dim_deviation","region","PC1","PC2","helps_local_auto","component_abs_rank","component_signed_rank"
14,0.0771406403844425,-0.144329348333308,-0.00841649716789764,-0.0137240590933421,-0.0855571375523401,-0.0908646994777845,0.0855571375523401,0.0908646994777845,0.00732002378615004,0.00825639361118809,1.95400339001899e-05,1.8727396500761e-06,2,2,0,"Gv",-1.06406148474088,1.64132976388277,FALSE,59,45
15,0.435057689803024,0.547550781617334,0.498225340880708,0.486853963475777,0.0631676510776849,0.0517962736727539,0.0631676510776849,0.0517962736727539,0.00399015214267215,0.00268285396638282,-2.72805145993592e-05,-2.61459635257865e-06,2,2,0,"Lc",0.799008549962458,-0.596730031599342,TRUE,38,491
16,0.415193776511165,0.410700415609642,0.396166040534206,0.396579435883964,-0.0190277359769587,-0.0186143406272004,0.0190277359769587,0.0186143406272004,0.000362054736408849,0.000346493676985444,-3.24726000908734e-07,-3.11221188468114e-08,2,2,0,"Lc",1.38603049722831,-0.195383264487857,TRUE,401,333
17,0.129010647126545,0.12739162081665,0.119292715545246,0.107637949078196,-0.00971793158129863,-0.0213726980483481,0.00971793158129863,0.0213726980483481,9.44381942188014e-05,0.000456792221865864,7.56155291933531e-06,7.24708055294125e-07,3,2,1,"Lc",1.95361312693294,0.19923973021737,FALSE,124,86
18,0.127070435273188,0.221454056341718,0.134918222868014,0.136104360275066,0.00784778759482607,0.0090339250018775,0.00784778759482607,0.0090339250018775,6.1587770133506e-05,8.16118009395473e-05,4.17858660441771e-07,4.00480616120827e-08,2,2,0,"Lc",1.95687580954281,0.200112036642651,FALSE,391,228
19,0.127072882223203,0.209195001733012,0.112281565655131,0.114755697817742,-0.0147913165680725,-0.0123171844054613,0.0147913165680725,0.0123171844054613,0.000218783045816937,0.000151713031678139,-1.39960762822005e-06,-1.34140028277595e-07,2,2,0,"Lc",1.95722881221099,0.198955181196832,TRUE,287,382
20,0.153388677997507,0.212778810119258,0.243589420247466,0.250178581063544,0.0902007422499592,0.0967899030660364,0.0902007422499592,0.0967899030660364,0.00813617390244358,0.00936828533553271,2.57115282099088e-05,2.46422286617826e-06,2,2,0,"Gv",-0.666927674942392,1.48687533879342,FALSE,44,31
21,-0.01411586312043,0.0777818740403918,-0.0135112597912457,-0.0129579640868908,0.000604603329184312,0.00115789903353924,0.000604603329184312,0.00115789903353924,3.65545185660754e-07,1.34073017187111e-06,2.0350023227983e-08,1.95036997242072e-09,2,2,0,"Li",-0.687032647454973,-0.687741611245778,FALSE,488,259
22,0.0154463212562229,0.0936599513293296,0.00319113733130057,-0.00186428637861198,-0.0122551839249223,-0.0173106076348349,0.0122551839249223,0.0173106076348349,0.000150189533033675,0.000299657136687204,3.11906894506284e-06,2.98935207307058e-07,2,2,0,"Li",-0.915672563626037,-0.293943681497599,FALSE,217,134
23,0.428337659721882,0.435794158058401,0.489295745462627,0.477941121161664,0.0609580857407454,0.0496034614397821,0.0609580857407454,0.0496034614397821,0.00371588821717607,0.00246050338680795,-2.61971941932029e-05,-2.51076966073623e-06,2,2,0,"Lc",0.764369771192737,-0.614491677626124,TRUE,42,489
24,-0.175531580046805,-0.374466749633142,-0.214474543175283,-0.214475773080267,-0.0389429631284789,-0.0389441930334627,0.0389429631284789,0.0389441930334627,0.00151655437722607,0.00151665017102761,1.99901158652084e-09,1.91587603079989e-10,2,2,0,"Li",-0.789611550567187,-1.03480707515605,FALSE,498,266
25,-0.430335248668038,-0.368352673878567,-0.40814646718677,-0.411961072521939,0.0221887814812674,0.018374176146099,0.0221887814812674,0.018374176146099,0.000492342023623433,0.000337610349047873,-3.22891883718779e-06,-3.0946334915112e-07,2,2,0,"Li",-0.806102531001268,-1.70653447915789,TRUE,212,420
26,0.138437649810445,0.132824775857545,0.10790088047168,0.120267656337546,-0.030536769338765,-0.0181699934728986,0.030536769338765,0.0181699934728986,0.000932494281648938,0.000330148662805176,-1.25696637131165e-05,-1.20469123768752e-06,1,2,-1,"Lc",1.939002530744,0.1897553320728,TRUE,80,477
27,0.125374433219737,0.109794882549204,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,461,274
28,0.125374433219737,-0.0217008051701907,0.137292053525952,0.137223911810434,0.0119176203062154,0.0118494785906973,0.0119176203062154,0.0118494785906973,0.000142029673763117,0.000140410142871393,-3.37961430201046e-08,-3.23906178344846e-09,2,2,0,"Lc",1.95981239833635,0.200738812748678,TRUE,462,275
29,0.163148403893256,0.115333398382394,0.153330852927157,0.155164004703137,-0.00981755096609935,-0.0079843991901192,0.00981755096609935,0.0079843991901192,9.63843069719582e-05,6.37506304271762e-05,-6.80994975406179e-07,-6.52673530895642e-08,2,2,0,"Gv",-1.03290490034845,1.4910727512514,TRUE,355,348
30,0.150032346927317,0.191826502947288,0.210007259798168,0.214012353464608,0.0599749128708511,0.0639800065372911,0.0599749128708511,0.0639800065372911,0.00359699017386618,0.00409344123651181,1.03598709980715e-05,9.92902125291262e-07,2,2,0,"Gv",-0.981515098556415,0.827386090148596,FALSE,100,69
31,0.147659136904901,0.283527092057805,0.212281359643375,0.219838996350673,0.0646222227384739,0.0721798594457724,0.0646222227384739,0.0721798594457724,0.00417603167166093,0.00520993210961146,2.15752890223195e-05,2.06780087590107e-06,2,2,0,"Gv",-0.985913445581636,0.755517570360863,FALSE,50,36
32,0.148299476107703,0.138020703373403,0.210877449325281,0.205187815581901,0.0625779732175778,0.0568883394741983,0.0625779732175778,0.0568883394741983,0.00391600273201989,0.00323628316813163,-1.4184292323238e-05,-1.35943912777652e-06,2,2,0,"Gv",-0.987136062007553,0.813087819316012,TRUE,74,480
33,-0.418945900947134,-0.380178739791197,-0.4438305569531,-0.442877710405557,-0.0248846560059658,-0.0239318094584234,0.0248846560059658,0.0239318094584234,0.000619246104535252,0.000572731503954283,-9.70660147200919e-07,-9.30292011619383e-08,1,2,-1,"Li",-0.810532060219462,-1.67175539346946,TRUE,319,365
34,0.127916427443307,0.122535923385017,0.108984290620406,0.114689585720567,-0.0189321368229019,-0.01322684172274,0.0189321368229019,0.01322684172274,0.000358425804681078,0.000174949341958416,-3.82876103610244e-06,-3.66952925445323e-07,2,2,0,"Lc",1.95594440791279,0.198068466405665,TRUE,187,433
35,0.129229461991697,-0.00847649369116318,0.0744938829088192,0.0741033538573544,-0.0547355790828783,-0.0551261081343431,0.0547355790828783,0.0551261081343431,0.00299598361753803,0.00303888779803929,8.95318408429605e-07,8.58083610025288e-08,2,2,0,"Lc",1.95186135504811,0.203398235695703,FALSE,331,190
36,0.100452324620023,0.058952868290055,0.0790288397841689,0.0879219139847978,-0.0214234848358541,-0.0125304106352252,0.0214234848358541,0.0125304106352252,0.000458965702512071,0.000157011190687364,-6.30114431243052e-06,-6.03909023649413e-07,2,2,0,"Gv",-1.05134559628323,1.56715698923012,TRUE,145,449
37,0.0750451244978029,0.0356161291267679,0.0262500636288425,0.0123319463045732,-0.0487950608689604,-0.0627131781932296,0.0487950608689604,0.0627131781932296,0.00238095796520555,0.00393294271909577,3.2386599709533e-05,3.10396950778044e-06,2,2,0,"Gv",-1.06249565837616,1.659378248102,FALSE,32,25
38,0.0744117798444667,0.0684804401733481,0.0256574589559563,0.0092124857375922,-0.0487543208885104,-0.0651992941068745,0.0487543208885104,0.0651992941068745,0.00237698380529984,0.00425094795203472,3.91056204245496e-05,3.74792829346975e-06,2,2,0,"Gv",-1.06452449734859,1.66143625915298,FALSE,26,19
39,0.0160321787604107,0.126034715958799,0.0562559914712536,0.0727767828306423,0.0402238127108429,0.0567446040702315,0.0402238127108429,0.0567446040702315,0.00161795510899697,0.00321995009108734,3.34302061225734e-05,3.20398996418074e-06,2,2,0,"Li",-0.64663852075334,-0.644930916207379,FALSE,31,24
40,0.0742909902365955,0.15060856508235,0.0417922420335132,0.0241084801173349,-0.0324987482030823,-0.0501825101192606,0.0324987482030823,0.0501825101192606,0.00105616863476735,0.00251828432186969,3.05112246550858e-05,2.92423137420469e-06,2,2,0,"Gv",-1.0637544487903,1.66601183284966,FALSE,34,26
41,-0.010450851769525,-0.0269032113948837,0.0639522657198847,0.0655573874540914,0.0744031174894097,0.0760082392236164,0.0744031174894097,0.0760082392236164,0.0055358238921429,0.0057772524298745,5.03809679210572e-06,4.82857075463205e-07,2,2,0,"Bv",-0.938914276335224,1.98397524846216,FALSE,168,111
42,0.256567386095101,0.231231218081451,0.31881123944518,0.317529354299141,0.0622438533500792,0.0609619682040394,0.0622438533500792,0.0609619682040394,0.00387429727986617,0.00371636156731031,-3.2957802514264e-06,-3.15871425111703e-07,3,2,1,"Li",-0.446717948880352,-0.0513901395819908,TRUE,208,423
43,0.0495757126043143,0.119272050144788,0.119105779281815,0.115051458029719,0.0695300666775003,0.0654757454254044,0.0695300666775003,0.0654757454254044,0.00483443017217764,0.00428707323901236,-1.14221675491507e-05,-1.09471386633056e-06,2,2,0,"Li",-0.885981939195688,0.327675250726597,TRUE,88,474
44,0.522058531746833,0.577724851614199,0.546526848715013,0.548699606992207,0.0244683169681805,0.026641075245374,0.0244683169681805,0.026641075245374,0.000598698535255351,0.000709746890229677,2.31734146352963e-06,2.22096709948652e-07,2,2,0,"Lc",0.867982460104636,-0.0522572004355027,FALSE,253,157
45,0.123791362856619,0.0549157934016673,0.0501670005860578,0.04852539991101,-0.0736243622705615,-0.0752659629456093,0.0736243622705615,0.0752659629456093,0.00542054671974688,0.00566496517812983,5.10049003601855e-06,4.888369167659e-07,2,2,0,"Gv",-1.05631344401676,1.73486687618031,FALSE,166,109
46,0.278150549260211,0.207401033563999,0.200165315433572,0.198272431955956,-0.0779852338266391,-0.0798781173042549,0.0779852338266391,0.0798781173042549,0.00608169669499558,0.00638051362407231,6.23566967663945e-06,5.9763385815346e-07,3,2,1,"Gv",-0.113897271380879,1.23689129378121,FALSE,147,95
47,0.160325378573582,0.196783574787265,0.182505284671814,0.18565178932917,0.0221799060982318,0.0253264107555881,0.0221799060982318,0.0253264107555881,0.000491948234526379,0.000641427081760766,3.11930357452788e-06,2.98957694468774e-07,2,2,0,"Lc",1.90591133149838,0.163527108231879,FALSE,216,133
48,0.169420352682543,0.246273645134085,0.207706992199009,0.208159435543904,0.0382866395164662,0.0387390828613604,0.0382866395164662,0.0387390828613604,0.00146586676546383,0.00150071654093935,7.27240216415547e-07,6.9699550951039e-08,2,2,0,"Lc",1.89160348051917,0.153649390514169,FALSE,347,198
49,0.0822698051200913,0.0710351839050685,0.0554225682105594,0.056284458725488,-0.0268472369095319,-0.0259853463946033,0.0268472369095319,0.0259853463946033,0.000720774129676534,0.000675238227247521,-9.50236811723937e-07,-9.10718048580262e-08,2,2,0,"Gv",-0.94175909657244,0.0438348101208889,TRUE,323,362
50,0.216290557519848,0.30440133016527,0.213272987062026,0.200043501166638,-0.00301757045782192,-0.01624705635321,0.00301757045782192,0.01624705635321,9.10573146791957e-06,0.00026396684014438,5.31840579460756e-06,5.09722217352922e-07,1,2,-1,"Lc",1.81555587710834,0.101148371270125,FALSE,163,106
51,0.364652120245484,0.40446270828219,0.39044423647041,0.394980030003027,0.0257921162249263,0.0303279097575437,0.0257921162249263,0.0303279097575437,0.000665233259360105,0.000919782110261717,5.31188964325048e-06,5.09097701803223e-07,2,2,0,"Lc",0.58147755321229,-0.74888968126178,FALSE,164,107
52,0.126420174391901,0.0652175350668239,0.132842205839828,0.123435964001818,0.00642203144792702,-0.00298421039008284,0.00642203144792702,0.00298421039008284,4.12424879181637e-05,8.90551165227839e-06,-6.74803475687995e-07,-6.46739525317706e-08,2,2,0,"Lc",1.95792528207582,0.200600485180667,TRUE,356,347
53,0.140709262340096,0.174821231482538,0.0856282147026585,0.087588512940138,-0.0550810476374374,-0.053120749399958,0.0550810476374374,0.053120749399958,0.00303392180883765,0.00282181401681314,-4.4262355917813e-06,-4.24215584049028e-07,2,2,0,"Lc",1.93499741823728,0.189037808265704,TRUE,175,440
