"run.label","dataset.id","geometry.id","truth.id","n","ambient.dimension","support.grid","coordinate.method","requested.chart.dim","chart.dim","local.chart.method","local.chart.method.effective","backend.requested","backend.used","selected.support.size","selected.degree","selected.kernel","selected.cv.rmse.observed","observed.rmse","truth.rmse","runtime.seconds","selected.parameters"
"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01","p7c_ctrl_1d_unit_interval_n200_seed101","p7d_1d_two_gaussian_v1",200,1,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",1,"pca","pca","auto","R",24,2,"tricube",0.102159972828266,0.0898087269409035,0.0399263002237993,0.786,"{""support.size"":24,""degree"":2,""kernel"":""tricube"",""coordinate.method"":""local.pca"",""requested.chart.dim"":""auto"",""chart.dim"":1,""auto.chart.support.metric"":""both"",""auto.chart.selection.metric"":""operator"",""local.chart.method"":""pca"",""local.chart.method.effective"":""pca"",""backend.requested"":""auto"",""backend.used"":""R""}"
"cpp.local.pca","p7d_1d_two_gaussian_v1__noise_sd010_r01","p7c_ctrl_1d_unit_interval_n200_seed101","p7d_1d_two_gaussian_v1",200,1,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35","local.pca","auto",1,"pca","pca","cpp.local.pca","cpp.local.pca",24,2,"tricube",0.102159972828266,0.0898087269409035,0.0399263002237993,0.0579999999999998,"{""support.size"":24,""degree"":2,""kernel"":""tricube"",""coordinate.method"":""local.pca"",""requested.chart.dim"":""auto"",""chart.dim"":1,""auto.chart.support.metric"":""both"",""auto.chart.selection.metric"":""operator"",""local.chart.method"":""pca"",""local.chart.method.effective"":""pca"",""backend.requested"":""cpp.local.pca"",""backend.used"":""cpp.local.pca""}"
