"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label"
29,2,"gaussian",1,0.129479732522591,"cpp.local.pca"
30,2,"gaussian",1,0.134273427631388,"cpp.local.pca"
31,2,"gaussian",1,0.141407705632908,"cpp.local.pca"
32,2,"gaussian",1,0.143932497882597,"cpp.local.pca"
33,2,"gaussian",1,0.152275894778215,"cpp.local.pca"
34,2,"gaussian",1,0.156617275617688,"cpp.local.pca"
35,2,"gaussian",1,0.162675579392363,"cpp.local.pca"
15,1,"tricube",1,0.114942915745551,"cpp.local.pca"
16,1,"tricube",1,0.118893289199817,"cpp.local.pca"
17,1,"tricube",1,0.121701704965423,"cpp.local.pca"
18,1,"tricube",1,0.126659136572947,"cpp.local.pca"
19,1,"tricube",1,0.129360440727522,"cpp.local.pca"
20,1,"tricube",1,0.133331046497127,"cpp.local.pca"
21,1,"tricube",1,0.1390404012642,"cpp.local.pca"
22,1,"tricube",1,0.14389665415793,"cpp.local.pca"
23,1,"tricube",1,0.14943479542665,"cpp.local.pca"
24,1,"tricube",1,0.156710416252595,"cpp.local.pca"
25,1,"tricube",1,0.168260809327599,"cpp.local.pca"
26,1,"tricube",1,0.173846187761199,"cpp.local.pca"
27,1,"tricube",1,0.183868501870898,"cpp.local.pca"
28,1,"tricube",1,0.194621810755192,"cpp.local.pca"
29,1,"tricube",1,0.204331353904517,"cpp.local.pca"
30,1,"tricube",1,0.2125301134933,"cpp.local.pca"
31,1,"tricube",1,0.225529445618861,"cpp.local.pca"
32,1,"tricube",1,0.23371303364313,"cpp.local.pca"
33,1,"tricube",1,0.243883474313718,"cpp.local.pca"
34,1,"tricube",1,0.252698580570806,"cpp.local.pca"
35,1,"tricube",1,0.261260138744612,"cpp.local.pca"
15,2,"tricube",1,0.104131877706104,"cpp.local.pca"
16,2,"tricube",1,0.104470612358037,"cpp.local.pca"
17,2,"tricube",1,0.104313964703116,"cpp.local.pca"
18,2,"tricube",1,0.104138927047549,"cpp.local.pca"
19,2,"tricube",1,0.103443899574289,"cpp.local.pca"
20,2,"tricube",1,0.103491513565724,"cpp.local.pca"
21,2,"tricube",1,0.103199370554969,"cpp.local.pca"
22,2,"tricube",1,0.102709210929861,"cpp.local.pca"
23,2,"tricube",1,0.102292157427185,"cpp.local.pca"
24,2,"tricube",1,0.102159972828266,"cpp.local.pca"
25,2,"tricube",1,0.10270898558089,"cpp.local.pca"
26,2,"tricube",1,0.103540259316326,"cpp.local.pca"
27,2,"tricube",1,0.105229192953554,"cpp.local.pca"
28,2,"tricube",1,0.106471433494608,"cpp.local.pca"
29,2,"tricube",1,0.107959264640395,"cpp.local.pca"
30,2,"tricube",1,0.109252025456606,"cpp.local.pca"
31,2,"tricube",1,0.111393425674667,"cpp.local.pca"
32,2,"tricube",1,0.113005173811213,"cpp.local.pca"
33,2,"tricube",1,0.114333046297222,"cpp.local.pca"
34,2,"tricube",1,0.116652110633342,"cpp.local.pca"
35,2,"tricube",1,0.118779558904281,"cpp.local.pca"
