"variant_id","variant_label","truth_rmse_delta_vs_exact.mean","truth_rmse_delta_vs_exact.median","truth_rmse_delta_vs_exact.max","truth_rmse_delta_vs_exact.max_abs","observed_rmse_delta_vs_exact.mean","observed_rmse_delta_vs_exact.median","observed_rmse_delta_vs_exact.max","fit_rmse_delta_vs_exact.mean","fit_rmse_delta_vs_exact.median","fit_rmse_delta_vs_exact.max","fit_max_abs_delta_vs_exact.max","candidate_count.mean","candidate_count.median","elapsed_sec.mean","elapsed_sec.median"
"guarded_default","Guarded default",-0.00163823724394696,0,0,0.045870642830515,-0.00120131681820705,0,0,0.00263990332540685,0,0.0739172931113917,0.712679690851697,9.67857142857143,10,3.71610714285714,1.15550000000001
"guarded_strict_edge","Guarded stricter edge",-0.00272774788209531,0,0,0.045870642830515,-0.00208322369054223,0,0,0.00470123119666396,0,0.0739172931113917,0.712679690851697,9.42857142857143,10,3.67267857142857,1.13
"guarded_one_expansion","Guarded one expansion",-0.00668653963876962,0,0,0.0634992074071294,-0.00553165487258024,0,0,0.00967613358547501,0,0.0825312940785048,0.712679690851697,9.42857142857143,9.5,3.53432142857143,1.1695
