"batch_id","dataset_id","geometry_family","chart_dim_rule","variant_id","variant_label","support.size","degree","kernel","selected_lambda_sync","selected_cv_rmse","truth_rmse","observed_rmse","total_local_gcv_ps","sync_energy","mean_sync_squared_disagreement","candidate_count","boundary_expansion_count","elapsed_sec","truth_rmse_delta_vs_exact","observed_rmse_delta_vs_exact","fit_rmse_delta_vs_exact","fit_max_abs_delta_vs_exact"
"FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube","local.auto","guarded_default","Guarded default",23,2,"tricube",300,0.106519704096773,0.0295581971287391,0.0996735176790041,4.38509543872773,0.00681386234714099,6.45570681556143e-07,9,1,0.952999999999999,0,0,0,0
"FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube","local.auto","guarded_strict_edge","Guarded stricter edge",23,2,"tricube",300,0.106519704096773,0.0295581971287391,0.0996735176790041,4.38509543872773,0.00681386234714099,6.45570681556143e-07,9,1,0.884999999999998,0,0,0,0
"FB03","LA-D1-HC-Lc-N500","VALENCIA depth-1 hypercube","local.auto","guarded_one_expansion","Guarded one expansion",23,2,"tricube",300,0.106519704096773,0.0295581971287391,0.0996735176790041,4.38509543872773,0.00681386234714099,6.45570681556143e-07,9,1,0.959000000000003,0,0,0,0
"FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube","auto","exact_reference","Exact expanded reference",35,2,"tricube",0.3,0.114003309011354,0.0432667148122037,0.0989019200866308,2.60524115330371,1.73751357936574,0.000103432715300797,19,0,1.128,0,0,0,0
"FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube","auto","guarded_default","Guarded default",35,2,"tricube",0.3,0.114003309011354,0.0432667148122037,0.0989019200866308,2.60524115330371,1.73751357936574,0.000103432715300797,10,0,0.654,0,0,0,0
"FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube","auto","guarded_strict_edge","Guarded stricter edge",35,2,"tricube",0.3,0.114003309011354,0.0432667148122037,0.0989019200866308,2.60524115330371,1.73751357936574,0.000103432715300797,10,0,0.661000000000001,0,0,0,0
"FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube","auto","guarded_one_expansion","Guarded one expansion",35,2,"tricube",0.3,0.114003309011354,0.0432667148122037,0.0989019200866308,2.60524115330371,1.73751357936574,0.000103432715300797,10,0,0.647000000000006,0,0,0,0
"FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube","local.auto","exact_reference","Exact expanded reference",35,2,"tricube",3,0.104377875041512,0.0317047788808524,0.0953754354135793,2.9956676402482,0.141609219812761,8.42987720545356e-06,19,0,1.46700000000001,0,0,0,0
"FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube","local.auto","guarded_default","Guarded default",35,2,"tricube",3,0.104377875041512,0.0317047788808524,0.0953754354135793,2.9956676402482,0.141609219812761,8.42987720545356e-06,10,0,0.856000000000002,0,0,0,0
"FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube","local.auto","guarded_strict_edge","Guarded stricter edge",35,2,"tricube",3,0.104377875041512,0.0317047788808524,0.0953754354135793,2.9956676402482,0.141609219812761,8.42987720545356e-06,10,0,0.927999999999997,0,0,0,0
"FB04","LA-D1-HC-Gv-N500","VALENCIA depth-1 hypercube","local.auto","guarded_one_expansion","Guarded one expansion",35,2,"tricube",3,0.104377875041512,0.0317047788808524,0.0953754354135793,2.9956676402482,0.141609219812761,8.42987720545356e-06,10,0,0.847000000000001,0,0,0,0
"FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube","auto","exact_reference","Exact expanded reference",15,2,"tricube",2700,0.107047833472219,0.0286798862333327,0.0984394499138906,5.97066656609264,6.40829264554462e-05,9.54953888007446e-09,19,0,1.424,0,0,0,0
"FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube","auto","guarded_default","Guarded default",15,2,"tricube",2700,0.107047833472219,0.0286798862333327,0.0984394499138906,5.97066656609264,6.40829264554462e-05,9.54953888007446e-09,10,2,0.834000000000003,0,0,0,0
"FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube","auto","guarded_strict_edge","Guarded stricter edge",15,2,"tricube",2700,0.107047833472219,0.0286798862333327,0.0984394499138906,5.97066656609264,6.40829264554462e-05,9.54953888007446e-09,10,2,0.875,0,0,0,0
"FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube","auto","guarded_one_expansion","Guarded one expansion",15,2,"tricube",900,0.107351021683168,0.0286085250081738,0.0963979042487876,5.82534770639384,0.000155515719131731,2.31747126489881e-08,9,1,0.761000000000003,-7.13612251589356e-05,-0.00204154566510302,0.00927904292146558,0.0706024593590552
"FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube","local.auto","exact_reference","Exact expanded reference",34,2,"gaussian",100,0.105564877269631,0.0306191501202624,0.100092203750729,5.481254883244,0.0170883789513391,1.06592514515089e-06,19,0,1.516,0,0,0,0
"FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube","local.auto","guarded_default","Guarded default",34,2,"gaussian",100,0.105564877269631,0.0306191501202624,0.100092203750729,5.481254883244,0.0170883789513391,1.06592514515089e-06,9,1,0.851000000000006,0,0,0,0
"FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube","local.auto","guarded_strict_edge","Guarded stricter edge",34,2,"gaussian",100,0.105564877269631,0.0306191501202624,0.100092203750729,5.481254883244,0.0170883789513391,1.06592514515089e-06,8,0,0.860000000000007,0,0,0,0
"FB05","LA-D1-HC-Bv-N500","VALENCIA depth-1 hypercube","local.auto","guarded_one_expansion","Guarded one expansion",34,2,"gaussian",100,0.105564877269631,0.0306191501202624,0.100092203750729,5.481254883244,0.0170883789513391,1.06592514515089e-06,9,1,0.962000000000003,0,0,0,0
"FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST","auto","exact_reference","Exact expanded reference",30,2,"tricube",30,0.117113504579654,0.0333460431732916,0.0933100357872785,4.77052868356724,0.0201007021040966,1.46155045962049e-06,19,0,8.039,0,0,0,0
"FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST","auto","guarded_default","Guarded default",30,2,"tricube",30,0.117113504579654,0.0333460431732916,0.0933100357872785,4.77052868356724,0.0201007021040966,1.46155045962049e-06,8,0,4.294,0,0,0,0
"FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST","auto","guarded_strict_edge","Guarded stricter edge",30,2,"tricube",30,0.117113504579654,0.0333460431732916,0.0933100357872785,4.77052868356724,0.0201007021040966,1.46155045962049e-06,8,0,4.252,0,0,0,0
"FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST","auto","guarded_one_expansion","Guarded one expansion",30,2,"tricube",30,0.117113504579654,0.0333460431732916,0.0933100357872785,4.77052868356724,0.0201007021040966,1.46155045962049e-06,8,0,4.13700000000001,0,0,0,0
"FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST","local.auto","exact_reference","Exact expanded reference",33,2,"gaussian",2700,0.242915801795496,0.19600123952157,0.216738358049731,360.498938966524,0.0532546464395868,3.47717322246535e-06,19,0,12.943,0,0,0,0
"FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST","local.auto","guarded_default","Guarded default",33,2,"gaussian",2700,0.242915801795496,0.19600123952157,0.216738358049731,360.498938966524,0.0532546464395868,3.47717322246535e-06,10,2,7.544,0,0,0,0
"FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST","local.auto","guarded_strict_edge","Guarded stricter edge",33,2,"gaussian",2700,0.242915801795496,0.19600123952157,0.216738358049731,360.498938966524,0.0532546464395868,3.47717322246535e-06,10,2,7.309,0,0,0,0
"FB06","LA-D2-RAW-N500","VALENCIA depth2 dCST","local.auto","guarded_one_expansion","Guarded one expansion",33,2,"gaussian",900,0.248743747419561,0.132502032114441,0.163180105752555,160.686474105187,0.133770619285635,8.73432923567124e-06,9,1,6.96000000000001,-0.0634992074071294,-0.0535582522971752,0.0785051710794435,0.163994559526829
"FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube","auto","exact_reference","Exact expanded reference",21,2,"gaussian",100,0.209894236628023,0.123308508058013,0.151108866938328,30.8242412456185,0.469746303015585,5.0358737533953e-05,19,0,3.316,0,0,0,0
"FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube","auto","guarded_default","Guarded default",21,2,"gaussian",100,0.209894236628023,0.123308508058013,0.151108866938328,30.8242412456185,0.469746303015585,5.0358737533953e-05,8,0,1.70999999999999,0,0,0,0
"FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube","auto","guarded_strict_edge","Guarded stricter edge",21,2,"gaussian",100,0.209894236628023,0.123308508058013,0.151108866938328,30.8242412456185,0.469746303015585,5.0358737533953e-05,8,0,1.807,0,0,0,0
"FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube","auto","guarded_one_expansion","Guarded one expansion",21,2,"gaussian",100,0.209894236628023,0.123308508058013,0.151108866938328,30.8242412456185,0.469746303015585,5.0358737533953e-05,8,0,1.79299999999999,0,0,0,0
"FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube","local.auto","exact_reference","Exact expanded reference",35,2,"gaussian",10,0.171173938155619,0.0770350343977289,0.121264279699212,38.7627420194108,3.87770334345828,0.000233659928698977,19,0,11.112,0,0,0,0
"FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube","local.auto","guarded_default","Guarded default",35,2,"gaussian",10,0.171173938155619,0.0770350343977289,0.121264279699212,38.7627420194108,3.87770334345828,0.000233659928698977,10,0,6.50399999999999,0,0,0,0
"FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube","local.auto","guarded_strict_edge","Guarded stricter edge",35,2,"gaussian",10,0.171173938155619,0.0770350343977289,0.121264279699212,38.7627420194108,3.87770334345828,0.000233659928698977,10,0,6.404,0,0,0,0
"FB07","LA-D2-HC-TOP1-N500","VALENCIA depth-2 hypercube","local.auto","guarded_one_expansion","Guarded one expansion",35,2,"gaussian",10,0.171173938155619,0.0770350343977289,0.121264279699212,38.7627420194108,3.87770334345828,0.000233659928698977,10,0,6.138,0,0,0,0
"FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST","auto","exact_reference","Exact expanded reference",31,2,"gaussian",2700,0.162793055732904,0.0787709756903458,0.126262964361434,18.9733433918336,0.016356258508053,1.12895213443797e-06,19,0,8.53100000000001,0,0,0,0
"FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST","auto","guarded_default","Guarded default",31,2,"gaussian",10,0.166469719381321,0.0329003328598308,0.0926260934516362,13.2619174846121,0.243135440056552,1.67818498267323e-05,10,0,4.94200000000001,-0.045870642830515,-0.0336368709097975,0.0739172931113917,0.712679690851697
"FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST","auto","guarded_strict_edge","Guarded stricter edge",31,2,"gaussian",10,0.166469719381321,0.0329003328598308,0.0926260934516362,13.2619174846121,0.243135440056552,1.67818498267323e-05,10,0,4.929,-0.045870642830515,-0.0336368709097975,0.0739172931113917,0.712679690851697
"FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST","auto","guarded_one_expansion","Guarded one expansion",31,2,"gaussian",10,0.166469719381321,0.0329003328598308,0.0926260934516362,13.2619174846121,0.243135440056552,1.67818498267323e-05,10,0,5.06900000000002,-0.045870642830515,-0.0336368709097975,0.0739172931113917,0.712679690851697
"FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST","local.auto","exact_reference","Exact expanded reference",33,2,"gaussian",2700,0.288114706469735,0.246077542462569,0.25720603713025,259.738068716717,0.0607098552880087,3.91045767101007e-06,19,0,12.878,0,0,0,0
"FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST","local.auto","guarded_default","Guarded default",33,2,"gaussian",2700,0.288114706469735,0.246077542462569,0.25720603713025,259.738068716717,0.0607098552880087,3.91045767101007e-06,10,2,7.262,0,0,0,0
"FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST","local.auto","guarded_strict_edge","Guarded stricter edge",33,2,"gaussian",2700,0.288114706469735,0.246077542462569,0.25720603713025,259.738068716717,0.0607098552880087,3.91045767101007e-06,10,2,7.09299999999999,0,0,0,0
"FB08","LA-D3-RAW-N500","VALENCIA depth3 dCST","local.auto","guarded_one_expansion","Guarded one expansion",33,2,"gaussian",900,0.31573054025327,0.184165973008234,0.202656963585926,126.458887497953,0.158396740594829,1.0202688614288e-05,9,1,6.453,-0.0619115694543343,-0.0545490735443239,0.0825312940785048,0.177681062521804
"FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix","auto","exact_reference","Exact expanded reference",15,2,"gaussian",2700,0.137683751999985,0.0708793128319837,0.118659665110302,44.9291928245678,0.0059881738024706,1.01761811822462e-06,19,0,3.17699999999999,0,0,0,0
"FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix","auto","guarded_default","Guarded default",15,2,"gaussian",2700,0.137683751999985,0.0708793128319837,0.118659665110302,44.9291928245678,0.0059881738024706,1.01761811822462e-06,10,2,2.238,0,0,0,0
"FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix","auto","guarded_strict_edge","Guarded stricter edge",15,2,"gaussian",100,0.142987815921598,0.0403730149638302,0.0939662726849168,31.3857131938645,0.0276281580372889,4.69507317578501e-06,8,0,1.76599999999999,-0.0305062978681535,-0.0246933924253851,0.0577171803951992,0.33301350020398
"FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix","auto","guarded_one_expansion","Guarded one expansion",15,2,"gaussian",900,0.139215681780752,0.055008983863572,0.107559071094455,38.2009506486529,0.00903924726413404,1.53611135790681e-06,9,1,1.88799999999998,-0.0158703289684117,-0.0111005940158469,0.0266989392024946,0.160368112070093
"FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix","local.auto","exact_reference","Exact expanded reference",15,2,"gaussian",100,0.13055312205192,0.0434368979532712,0.0969854213477594,30.9150912299623,0.032719456504337,5.56027811743514e-06,19,0,3.291,0,0,0,0
"FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix","local.auto","guarded_default","Guarded default",15,2,"gaussian",100,0.13055312205192,0.0434368979532712,0.0969854213477594,30.9150912299623,0.032719456504337,5.56027811743514e-06,9,1,1.851,0,0,0,0
"FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix","local.auto","guarded_strict_edge","Guarded stricter edge",15,2,"gaussian",100,0.13055312205192,0.0434368979532712,0.0969854213477594,30.9150912299623,0.032719456504337,5.56027811743514e-06,8,0,1.73099999999999,0,0,0,0
"FB09","LA-13K-SUB-N500","VALENCIA full phylotype matrix","local.auto","guarded_one_expansion","Guarded one expansion",15,2,"gaussian",100,0.13055312205192,0.0434368979532712,0.0969854213477594,30.9150912299623,0.032719456504337,5.56027811743514e-06,9,1,1.85399999999998,0,0,0,0
"FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve","auto","exact_reference","Exact expanded reference",35,2,"gaussian",30,0.105534128869341,0.0262494741796841,0.0973145581021077,5.63557799702041,0.0685512767898202,4.77127383599754e-06,19,0,1.47800000000001,0,0,0,0
"FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve","auto","guarded_default","Guarded default",35,2,"gaussian",30,0.105534128869341,0.0262494741796841,0.0973145581021077,5.63557799702041,0.0685512767898202,4.77127383599754e-06,10,0,0.984999999999985,0,0,0,0
"FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve","auto","guarded_strict_edge","Guarded stricter edge",35,2,"gaussian",30,0.105534128869341,0.0262494741796841,0.0973145581021077,5.63557799702041,0.0685512767898202,4.77127383599754e-06,10,0,0.927999999999997,0,0,0,0
"FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve","auto","guarded_one_expansion","Guarded one expansion",35,2,"gaussian",30,0.105534128869341,0.0262494741796841,0.0973145581021077,5.63557799702041,0.0685512767898202,4.77127383599754e-06,10,0,0.929000000000002,0,0,0,0
"FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve","local.auto","exact_reference","Exact expanded reference",32,2,"gaussian",100,0.105214791800523,0.0268201538207002,0.0978671766389166,5.9806440835314,0.0234517678780628,1.79658849323511e-06,19,0,1.52699999999999,0,0,0,0
"FB10","SYN-PARA-LINE-N500","synthetic stratified surface/curve","local.auto","guarded_default","Guarded default",32,2,"gaussian",100,0.105214791800523,0.0268201538207002,0.0978671766389166,5.9806440835314,0.0234517678780628,1.79658849323511e-06,9,1,0.945999999999998,0,0,0,0
