"study","mode","generator","rho.nominal","gated","R","K","m","K.test","closure.f","mean.realized.icc","mean.rel.random","mean.rel.groupedA","se.rel.groupedA","mean.rel.loco","se.rel.loco","mean.gap.primary","se.gap.primary","closure.fraction","primary.verdict","loco.confirmatory.verdict","all.groupedA.whole","all.loco.whole","all.random.split","rule","acceptance.evidence"
"E1.10b'","smoke","inline-smoke-fixture (NOT plan DGP)",0.3,FALSE,2,8,6,10,0.5,0.356226080363994,0.504911408650441,0.510913450952392,0.186753825576314,0.713724238041301,0.27259621540838,-0.006002042301951,0.264908624660105,-0.0118873176543854,"REPORTED-ONLY","REPORTED-ONLY",TRUE,TRUE,TRUE,"primary: gap>0.10 & rel.groupedA<=(1-0.5)*rel.random; confirmatory: rel.loco<0.10; SE<0.0333 (rho=0.6 gated)",FALSE
"E1.10b'","smoke","inline-smoke-fixture (NOT plan DGP)",0.6,TRUE,2,8,6,10,0.5,0.322106304507047,0.530147775799902,0.364207129979419,0.0615151457771648,0.361115210596583,0.0430794601834006,0.165940645820484,0.116449931874904,0.313008284473339,"INCONCLUSIVE","INCONCLUSIVE",TRUE,TRUE,TRUE,"primary: gap>0.10 & rel.groupedA<=(1-0.5)*rel.random; confirmatory: rel.loco<0.10; SE<0.0333 (rho=0.6 gated)",FALSE
