"stage","lambda.sync","boundary","expansion","selected.after.stage","batch_id","dataset_id","chart_dim_rule","layout_id"
"coarse",0.003,"none",0,300,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,300,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,300,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,300,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2"
"refine",30,"none",0,100,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2"
"refine",100,"none",0,100,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2"
"boundary_expand_right",900,"right",1,100,"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,10,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,10,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0.003,"none",0,10,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,10,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,10,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,10,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"refine",1,"none",0,30,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"refine",3,"none",0,30,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"refine",30,"none",0,30,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"refine",100,"none",0,30,"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,300,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,300,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",0.003,"none",0,300,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,300,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,300,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,300,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"refine",30,"none",0,100,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"refine",100,"none",0,100,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"boundary_expand_right",900,"right",1,100,"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",0.003,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"refine",1,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"refine",3,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"refine",30,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"refine",100,"none",0,10,"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,300,"FB14","SYN-RANK-BLOCKS-N600-P100","auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,300,"FB14","SYN-RANK-BLOCKS-N600-P100","auto","wide_mixed_15_expand_2"
