"lambda.sync","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","eval.elapsed.sec","path","evaluated_by_search","batch_id","dataset_id","chart_dim_rule","layout_id","full_selected_lambda","search_selected_lambda"
3,0.107040420632331,5.56441741770699,0.287248280841146,1.76458691552231e-05,0.065999999999999,"expanded_reference",FALSE,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2",100,100
10,0.105833127072268,5.68245548016043,0.096139251947964,5.90590361615768e-06,0.0719999999999992,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2",100,100
30,0.105460303752921,5.79501816915686,0.0348082774049186,2.13829759679425e-06,0.0700000000000003,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2",100,100
100,0.104923040618066,5.92434865801255,0.0118061295325616,7.25259055863274e-07,0.0679999999999996,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2",100,100
300,0.104902487128636,6.05428246687542,0.00494517974914048,3.03785960169591e-07,0.0700000000000003,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2",100,100
900,0.10583979260883,6.22242659063107,0.00218713194778579,1.343570936711e-07,0.0679999999999996,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2",100,100
2700,0.107566940195807,6.46355415643248,0.00101913183814801,6.26060041690105e-08,0.0679999999999996,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2",100,100
0,1.04357881700712,2.9175456341405,12.2582998256955,0.000891318305779958,0.0859999999999985,"expanded_reference",TRUE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
1.11111111111111e-05,0.214676320235232,3.0674660618353,12.9808060067986,0.000943852751373011,0.381,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
3.33333333333333e-05,0.210479209753257,3.06749633985484,12.9513952871465,0.000941714256379024,0.372,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
1e-04,0.206146749125046,3.06758820268397,12.8720772254221,0.000935946928005659,0.304,"expanded_reference",TRUE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
3e-04,0.201941783472822,3.06787108055686,12.6796222012176,0.000921953251186523,0.366999999999999,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.001,0.198095162321658,3.06891516154252,12.2104799678759,0.00088784125633097,0.443999999999999,"expanded_reference",FALSE,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2",30,30
