"family","quantity","index","value17","generated.at.commit"
"gaussian","fitted",55,"-1.1173284097370382","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",56,"0.77115256039709579","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",57,"-0.12229171209916682","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",58,"0.72368562182109109","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",59,"1.626816106179372","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",60,"-0.3245522169439789","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",61,"-0.57924042135142662","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",62,"0.51832629167265531","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",63,"0.30234515824371233","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",64,"-0.54327815422789127","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",65,"-0.31361526164041309","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",66,"-0.97802972094304141","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",67,"-0.50293560589210073","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",68,"0.58143353229664685","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",69,"0.86617610371307063","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",70,"0.71224146797182186","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",71,"0.79101330391421865","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",72,"0.3294284511740086","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",73,"1.1422536746853575","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",74,"0.78375778538447283","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",75,"-0.0091906307176943675","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",76,"0.048568991378989915","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
"gaussian","fitted",77,"0.04471648573874562","c621e2ff311a776ca09130cd41d189a05e5d9a1a"
