"rho.nominal","replicate","seed.base","realized.icc"
0.3,1,370001,0.288738761894969
0.3,2,370002,0.297936571601929
0.3,3,370003,0.334174276239527
0.3,4,370004,0.282933760769284
0.3,5,370005,0.304415797206778
0.3,6,370006,0.307033343952146
0.3,7,370007,0.285815105091317
0.3,8,370008,0.168019768307287
0.3,9,370009,0.307962357360725
0.3,10,370010,0.277753396022925
0.3,11,370011,0.255180186026459
0.3,12,370012,0.379658554156313
0.3,13,370013,0.342580138361581
0.3,14,370014,0.16703241961688
0.3,15,370015,0.360172097822893
0.3,16,370016,0.343685808423498
0.3,17,370017,0.321101536511641
0.3,18,370018,0.395917440364692
0.3,19,370019,0.246993978964131
0.3,20,370020,0.360214374544176
0.3,21,370021,0.338417939572733
0.3,22,370022,0.338281831712263
0.3,23,370023,0.216108036984026
0.3,24,370024,0.362656887849119
0.3,25,370025,0.266036042768492
0.3,26,370026,0.301164533953114
0.3,27,370027,0.281552245753798
0.3,28,370028,0.397882027664466
0.3,29,370029,0.375092531389538
0.3,30,370030,0.231311447810641
0.3,31,370031,0.299505415885358
0.3,32,370032,0.40147951089739
0.3,33,370033,0.346636552950234
0.3,34,370034,0.276329189628294
0.3,35,370035,0.380592429734318
0.3,36,370036,0.389285592263737
0.3,37,370037,0.342763912894218
0.3,38,370038,0.363334638713672
0.3,39,370039,0.325618477228033
0.3,40,370040,0.332536206043809
0.6,1,670001,0.649736461502851
0.6,2,670002,0.635433681934495
0.6,3,670003,0.650879776872924
0.6,4,670004,0.633758659364619
0.6,5,670005,0.604537254871759
0.6,6,670006,0.483666308162244
0.6,7,670007,0.557875599887828
0.6,8,670008,0.537676049989774
0.6,9,670009,0.614583071674165
0.6,10,670010,0.585028769315351
0.6,11,670011,0.572387609653013
0.6,12,670012,0.63935392448789
0.6,13,670013,0.580466860569776
0.6,14,670014,0.643663804380267
0.6,15,670015,0.651783963670955
0.6,16,670016,0.50542533734397
0.6,17,670017,0.610993406393079
0.6,18,670018,0.550422427256497
0.6,19,670019,0.60414713776168
0.6,20,670020,0.612314185052882
0.6,21,670021,0.652417204407343
0.6,22,670022,0.507090749005936
0.6,23,670023,0.514557026938995
0.6,24,670024,0.640056051112625
0.6,25,670025,0.594805061158169
0.6,26,670026,0.544238192565806
0.6,27,670027,0.612529301042314
0.6,28,670028,0.594031248238694
0.6,29,670029,0.598719032733286
0.6,30,670030,0.633745580600263
0.6,31,670031,0.60356360770768
0.6,32,670032,0.597027046790565
0.6,33,670033,0.461147438331202
0.6,34,670034,0.526802958121039
0.6,35,670035,0.664981327891537
0.6,36,670036,0.551281008410925
0.6,37,670037,0.651557611182677
0.6,38,670038,0.637286853275364
0.6,39,670039,0.556092967272631
0.6,40,670040,0.564293090299253
